 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 29, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\104Pd_104Pd.txt

 Ion = Palladium [46] , Mass = 104 amu

 Target Density =  1.2020E+01 g/cm3 = 6.9600E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pd     46    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.773E-02  2.097E+00      36 A        24 A        17 A   
  11.00 keV   1.025E-01  2.167E+00      38 A        25 A        18 A   
  12.00 keV   1.071E-01  2.233E+00      40 A        27 A        19 A   
  13.00 keV   1.114E-01  2.293E+00      42 A        28 A        20 A   
  14.00 keV   1.156E-01  2.349E+00      44 A        29 A        21 A   
  15.00 keV   1.197E-01  2.401E+00      46 A        30 A        21 A   
  16.00 keV   1.236E-01  2.451E+00      48 A        31 A        22 A   
  17.00 keV   1.274E-01  2.497E+00      50 A        32 A        23 A   
  18.00 keV   1.311E-01  2.540E+00      52 A        33 A        24 A   
  20.00 keV   1.382E-01  2.620E+00      55 A        35 A        25 A   
  22.50 keV   1.466E-01  2.710E+00      60 A        37 A        27 A   
  25.00 keV   1.545E-01  2.789E+00      64 A        40 A        29 A   
  27.50 keV   1.621E-01  2.859E+00      68 A        42 A        30 A   
  30.00 keV   1.693E-01  2.923E+00      72 A        44 A        32 A   
  32.50 keV   1.762E-01  2.981E+00      76 A        46 A        33 A   
  35.00 keV   1.828E-01  3.034E+00      80 A        48 A        35 A   
  37.50 keV   1.893E-01  3.083E+00      84 A        50 A        36 A   
  40.00 keV   1.955E-01  3.127E+00      88 A        52 A        38 A   
  45.00 keV   2.073E-01  3.207E+00      96 A        56 A        41 A   
  50.00 keV   2.185E-01  3.275E+00     103 A        60 A        43 A   
