 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 29, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\104Pd_Si.txt

 Ion = Palladium [46] , Mass = 104 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.265E+01  1.144E+03     118 A        40 A        30 A   
  11.00 keV   6.571E+01  1.178E+03     125 A        42 A        32 A   
  12.00 keV   6.863E+01  1.209E+03     131 A        44 A        33 A   
  13.00 keV   7.143E+01  1.237E+03     138 A        46 A        35 A   
  14.00 keV   7.413E+01  1.263E+03     144 A        48 A        36 A   
  15.00 keV   7.673E+01  1.288E+03     150 A        49 A        38 A   
  16.00 keV   7.925E+01  1.310E+03     156 A        51 A        39 A   
  17.00 keV   8.169E+01  1.331E+03     162 A        53 A        40 A   
  18.00 keV   8.406E+01  1.351E+03     168 A        54 A        42 A   
  20.00 keV   8.860E+01  1.387E+03     179 A        57 A        44 A   
  22.50 keV   9.398E+01  1.426E+03     193 A        61 A        47 A   
  25.00 keV   9.906E+01  1.461E+03     207 A        65 A        50 A   
  27.50 keV   1.039E+02  1.491E+03     220 A        68 A        53 A   
  30.00 keV   1.085E+02  1.518E+03     234 A        71 A        56 A   
  32.50 keV   1.129E+02  1.542E+03     246 A        75 A        59 A   
  35.00 keV   1.172E+02  1.563E+03     259 A        78 A        61 A   
  37.50 keV   1.213E+02  1.582E+03     272 A        81 A        64 A   
  40.00 keV   1.253E+02  1.600E+03     284 A        84 A        67 A   
  45.00 keV   1.329E+02  1.630E+03     309 A        90 A        72 A   
  50.00 keV   1.401E+02  1.655E+03     333 A        96 A        77 A   
