 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> August 07, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\106Sn_206Pb.txt

 Ion = Tin [50] , Mass = 106 amu

 Target Density =  1.1344E+01 g/cm3 = 3.3161E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.154E-02  1.086E+00      53 A        47 A        37 A   
  11.00 keV   5.406E-02  1.127E+00      56 A        50 A        39 A   
  12.00 keV   5.646E-02  1.165E+00      58 A        52 A        40 A   
  13.00 keV   5.876E-02  1.200E+00      61 A        54 A        42 A   
  14.00 keV   6.098E-02  1.233E+00      64 A        56 A        44 A   
  15.00 keV   6.312E-02  1.264E+00      67 A        58 A        45 A   
  16.00 keV   6.519E-02  1.293E+00      69 A        60 A        47 A   
  17.00 keV   6.720E-02  1.321E+00      72 A        62 A        48 A   
  18.00 keV   6.915E-02  1.347E+00      75 A        64 A        50 A   
  20.00 keV   7.289E-02  1.396E+00      80 A        68 A        53 A   
  22.50 keV   7.731E-02  1.451E+00      86 A        73 A        56 A   
  25.00 keV   8.149E-02  1.500E+00      92 A        77 A        60 A   
  27.50 keV   8.547E-02  1.545E+00      98 A        81 A        63 A   
  30.00 keV   8.927E-02  1.586E+00     104 A        86 A        66 A   
  32.50 keV   9.292E-02  1.623E+00     109 A        90 A        69 A   
  35.00 keV   9.642E-02  1.657E+00     115 A        94 A        72 A   
  37.50 keV   9.981E-02  1.689E+00     120 A        98 A        75 A   
  40.00 keV   1.031E-01  1.719E+00     126 A       102 A        78 A   
  45.00 keV   1.093E-01  1.773E+00     136 A       109 A        84 A   
