 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 28, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\107Ag_107Ag.txt

 Ion = Silver [47] , Mass = 106.905 amu

 Target Density =  1.0473E+01 g/cm3 = 5.8467E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ag     47    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.454E-01  2.058E+00      42 A        28 A        20 A   
  11.00 keV   1.525E-01  2.129E+00      44 A        29 A        21 A   
  12.00 keV   1.593E-01  2.193E+00      47 A        31 A        22 A   
  13.00 keV   1.658E-01  2.253E+00      49 A        32 A        23 A   
  14.00 keV   1.720E-01  2.309E+00      51 A        33 A        24 A   
  15.00 keV   1.781E-01  2.361E+00      53 A        34 A        25 A   
  16.00 keV   1.839E-01  2.410E+00      55 A        36 A        26 A   
  17.00 keV   1.896E-01  2.456E+00      58 A        37 A        26 A   
  18.00 keV   1.951E-01  2.500E+00      60 A        38 A        27 A   
  20.00 keV   2.056E-01  2.580E+00      64 A        40 A        29 A   
  22.50 keV   2.181E-01  2.669E+00      69 A        43 A        31 A   
  25.00 keV   2.299E-01  2.748E+00      74 A        45 A        33 A   
  27.50 keV   2.411E-01  2.819E+00      78 A        48 A        35 A   
  30.00 keV   2.518E-01  2.883E+00      83 A        50 A        36 A   
  32.50 keV   2.621E-01  2.941E+00      88 A        53 A        38 A   
  35.00 keV   2.720E-01  2.994E+00      92 A        55 A        40 A   
  37.50 keV   2.816E-01  3.043E+00      97 A        57 A        41 A   
  40.00 keV   2.908E-01  3.088E+00     101 A        60 A        43 A   
  45.00 keV   3.084E-01  3.168E+00     110 A        64 A        46 A   
  50.00 keV   3.251E-01  3.237E+00     118 A        68 A        49 A   
