 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 13, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\108Sn_208Pb.txt

 Ion = Tin [50] , Mass = 108 amu

 Target Density =  1.1344E+01 g/cm3 = 3.3161E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.106E-02  1.097E+00      53 A        47 A        37 A   
  11.00 keV   5.355E-02  1.138E+00      56 A        49 A        38 A   
  12.00 keV   5.593E-02  1.176E+00      59 A        52 A        40 A   
  13.00 keV   5.822E-02  1.212E+00      61 A        54 A        42 A   
  14.00 keV   6.042E-02  1.245E+00      64 A        56 A        43 A   
  15.00 keV   6.254E-02  1.277E+00      67 A        58 A        45 A   
  16.00 keV   6.459E-02  1.307E+00      70 A        60 A        47 A   
  17.00 keV   6.658E-02  1.335E+00      72 A        62 A        48 A   
  18.00 keV   6.851E-02  1.361E+00      75 A        64 A        50 A   
  20.00 keV   7.221E-02  1.410E+00      80 A        68 A        52 A   
  22.50 keV   7.659E-02  1.466E+00      86 A        72 A        56 A   
  25.00 keV   8.073E-02  1.516E+00      92 A        77 A        59 A   
  27.50 keV   8.467E-02  1.561E+00      98 A        81 A        63 A   
  30.00 keV   8.844E-02  1.602E+00     104 A        85 A        66 A   
  32.50 keV   9.205E-02  1.640E+00     109 A        89 A        69 A   
  35.00 keV   9.553E-02  1.675E+00     115 A        93 A        72 A   
  37.50 keV   9.888E-02  1.707E+00     120 A        97 A        75 A   
  40.00 keV   1.021E-01  1.737E+00     126 A       101 A        78 A   
  45.00 keV   1.083E-01  1.792E+00     136 A       108 A        83 A   
  50.00 keV   1.142E-01  1.840E+00     147 A       116 A        89 A   
