 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 17, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\109Ag_109Ag.txt

 Ion = Silver [47] , Mass = 109 amu

 Target Density =  1.0473E+01 g/cm3 = 5.7861E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ag     47    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.425E-01  2.043E+00      42 A        28 A        20 A   
  11.00 keV   1.495E-01  2.113E+00      45 A        30 A        21 A   
  12.00 keV   1.561E-01  2.177E+00      47 A        31 A        22 A   
  13.00 keV   1.625E-01  2.237E+00      49 A        32 A        23 A   
  14.00 keV   1.686E-01  2.292E+00      52 A        33 A        24 A   
  15.00 keV   1.745E-01  2.344E+00      54 A        35 A        25 A   
  16.00 keV   1.802E-01  2.393E+00      56 A        36 A        26 A   
  17.00 keV   1.858E-01  2.438E+00      58 A        37 A        27 A   
  18.00 keV   1.912E-01  2.482E+00      60 A        38 A        27 A   
  20.00 keV   2.015E-01  2.561E+00      64 A        40 A        29 A   
  22.50 keV   2.137E-01  2.650E+00      70 A        43 A        31 A   
  25.00 keV   2.253E-01  2.728E+00      74 A        46 A        33 A   
  27.50 keV   2.363E-01  2.799E+00      79 A        48 A        35 A   
  30.00 keV   2.468E-01  2.863E+00      84 A        51 A        37 A   
  32.50 keV   2.569E-01  2.921E+00      89 A        53 A        38 A   
  35.00 keV   2.666E-01  2.974E+00      93 A        55 A        40 A   
  37.50 keV   2.759E-01  3.022E+00      98 A        58 A        42 A   
  40.00 keV   2.850E-01  3.067E+00     102 A        60 A        43 A   
  45.00 keV   3.023E-01  3.147E+00     111 A        64 A        47 A   
  50.00 keV   3.186E-01  3.215E+00     119 A        69 A        50 A   
