 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 17, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\120Sn_120Sn.txt

 Ion = Tin [50] , Mass = 120 amu

 Target Density =  7.2816E+00 g/cm3 = 3.6541E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Sn     50    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.546E-02  1.969E+00      64 A        44 A        31 A   
  11.00 keV   1.001E-01  2.039E+00      68 A        46 A        33 A   
  12.00 keV   1.046E-01  2.103E+00      71 A        48 A        34 A   
  13.00 keV   1.088E-01  2.163E+00      75 A        50 A        36 A   
  14.00 keV   1.130E-01  2.219E+00      78 A        52 A        37 A   
  15.00 keV   1.169E-01  2.271E+00      82 A        54 A        38 A   
  16.00 keV   1.208E-01  2.320E+00      85 A        55 A        40 A   
  17.00 keV   1.245E-01  2.366E+00      88 A        57 A        41 A   
  18.00 keV   1.281E-01  2.409E+00      91 A        59 A        42 A   
  20.00 keV   1.350E-01  2.490E+00      97 A        62 A        45 A   
  22.50 keV   1.432E-01  2.580E+00     105 A        66 A        48 A   
  25.00 keV   1.509E-01  2.661E+00     112 A        70 A        51 A   
  27.50 keV   1.583E-01  2.733E+00     119 A        74 A        53 A   
  30.00 keV   1.653E-01  2.798E+00     126 A        78 A        56 A   
  32.50 keV   1.721E-01  2.858E+00     133 A        82 A        59 A   
  35.00 keV   1.786E-01  2.913E+00     140 A        85 A        61 A   
  37.50 keV   1.849E-01  2.964E+00     147 A        89 A        64 A   
  40.00 keV   1.909E-01  3.010E+00     153 A        92 A        66 A   
  45.00 keV   2.025E-01  3.094E+00     166 A        99 A        71 A   
  50.00 keV   2.135E-01  3.167E+00     179 A       105 A        76 A   
