 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 20, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\Neodymium in Lead.txt

 Ion = Neodymium [60] , Mass = 140 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2842E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.144E-01  1.327E+00      50 A        41 A        31 A   
  11.00 keV   1.200E-01  1.380E+00      53 A        43 A        32 A   
  12.00 keV   1.253E-01  1.429E+00      56 A        45 A        34 A   
  13.00 keV   1.304E-01  1.475E+00      58 A        46 A        35 A   
  14.00 keV   1.353E-01  1.519E+00      61 A        48 A        36 A   
  15.00 keV   1.401E-01  1.560E+00      63 A        50 A        37 A   
  16.00 keV   1.447E-01  1.598E+00      66 A        52 A        39 A   
  17.00 keV   1.491E-01  1.635E+00      68 A        53 A        40 A   
  18.00 keV   1.535E-01  1.670E+00      70 A        55 A        41 A   
  20.00 keV   1.618E-01  1.735E+00      75 A        58 A        43 A   
  22.50 keV   1.716E-01  1.809E+00      80 A        62 A        46 A   
  25.00 keV   1.809E-01  1.876E+00      85 A        65 A        48 A   
  27.50 keV   1.897E-01  1.936E+00      91 A        69 A        51 A   
  30.00 keV   1.981E-01  1.992E+00      96 A        72 A        53 A   
  32.50 keV   2.062E-01  2.044E+00     100 A        75 A        55 A   
  35.00 keV   2.140E-01  2.092E+00     105 A        79 A        58 A   
  37.50 keV   2.215E-01  2.136E+00     110 A        82 A        60 A   
  40.00 keV   2.288E-01  2.178E+00     115 A        85 A        62 A   
  45.00 keV   2.427E-01  2.254E+00     124 A        91 A        66 A   
  50.00 keV   2.558E-01  2.321E+00     133 A        97 A        70 A   
