 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 13, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\140Nd_52Cr.txt

 Ion = Neodymium [60] , Mass = 140 amu

 Target Density =  7.2000E+00 g/cm3 = 8.3388E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cr     24    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.816E-01  4.040E+00      45 A        19 A        14 A   
  11.00 keV   2.953E-01  4.183E+00      48 A        20 A        15 A   
  12.00 keV   3.084E-01  4.315E+00      50 A        21 A        15 A   
  13.00 keV   3.210E-01  4.438E+00      52 A        21 A        16 A   
  14.00 keV   3.331E-01  4.552E+00      54 A        22 A        16 A   
  15.00 keV   3.448E-01  4.659E+00      57 A        23 A        17 A   
  16.00 keV   3.561E-01  4.760E+00      59 A        24 A        18 A   
  17.00 keV   3.671E-01  4.854E+00      61 A        24 A        18 A   
  18.00 keV   3.777E-01  4.944E+00      63 A        25 A        19 A   
  20.00 keV   3.982E-01  5.109E+00      67 A        26 A        20 A   
  22.50 keV   4.223E-01  5.295E+00      72 A        28 A        21 A   
  25.00 keV   4.452E-01  5.460E+00      76 A        29 A        22 A   
  27.50 keV   4.669E-01  5.608E+00      81 A        31 A        23 A   
  30.00 keV   4.877E-01  5.743E+00      85 A        32 A        25 A   
  32.50 keV   5.076E-01  5.866E+00      90 A        34 A        26 A   
  35.00 keV   5.267E-01  5.979E+00      94 A        35 A        27 A   
  37.50 keV   5.452E-01  6.083E+00      98 A        36 A        28 A   
  40.00 keV   5.631E-01  6.179E+00     102 A        38 A        29 A   
  45.00 keV   5.973E-01  6.350E+00     110 A        40 A        31 A   
  50.00 keV   6.296E-01  6.500E+00     118 A        43 A        33 A   
