 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 13, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\140Sm_94Mo.txt

 Ion = Samarium [62] , Mass = 140 amu

 Target Density =  1.0206E+01 g/cm3 = 6.5384E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mo     42    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.147E-01  2.818E+00      39 A        22 A        16 A   
  11.00 keV   1.202E-01  2.923E+00      41 A        23 A        17 A   
  12.00 keV   1.256E-01  3.021E+00      43 A        24 A        18 A   
  13.00 keV   1.307E-01  3.112E+00      45 A        25 A        18 A   
  14.00 keV   1.357E-01  3.198E+00      47 A        26 A        19 A   
  15.00 keV   1.404E-01  3.278E+00      49 A        27 A        20 A   
  16.00 keV   1.450E-01  3.354E+00      51 A        28 A        20 A   
  17.00 keV   1.495E-01  3.425E+00      52 A        29 A        21 A   
  18.00 keV   1.538E-01  3.493E+00      54 A        30 A        22 A   
  20.00 keV   1.621E-01  3.619E+00      58 A        31 A        23 A   
  22.50 keV   1.720E-01  3.761E+00      62 A        33 A        24 A   
  25.00 keV   1.813E-01  3.888E+00      66 A        35 A        26 A   
  27.50 keV   1.901E-01  4.004E+00      70 A        37 A        27 A   
  30.00 keV   1.986E-01  4.109E+00      74 A        39 A        28 A   
  32.50 keV   2.067E-01  4.206E+00      77 A        40 A        29 A   
  35.00 keV   2.145E-01  4.295E+00      81 A        42 A        31 A   
  37.50 keV   2.220E-01  4.377E+00      85 A        44 A        32 A   
  40.00 keV   2.293E-01  4.454E+00      88 A        45 A        33 A   
  45.00 keV   2.432E-01  4.592E+00      95 A        48 A        35 A   
  50.00 keV   2.564E-01  4.714E+00     102 A        51 A        38 A   
