 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 10, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\140Sm_Si.txt

 Ion = Samarium [62] , Mass = 140 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.648E+01  1.289E+03     119 A        37 A        28 A   
  11.00 keV   5.923E+01  1.334E+03     125 A        39 A        29 A   
  12.00 keV   6.187E+01  1.376E+03     131 A        40 A        30 A   
  13.00 keV   6.439E+01  1.414E+03     137 A        42 A        31 A   
  14.00 keV   6.682E+01  1.450E+03     142 A        43 A        33 A   
  15.00 keV   6.917E+01  1.483E+03     148 A        45 A        34 A   
  16.00 keV   7.144E+01  1.514E+03     153 A        46 A        35 A   
  17.00 keV   7.364E+01  1.544E+03     159 A        47 A        36 A   
  18.00 keV   7.577E+01  1.572E+03     164 A        49 A        37 A   
  20.00 keV   7.987E+01  1.623E+03     174 A        51 A        39 A   
  22.50 keV   8.472E+01  1.681E+03     187 A        54 A        42 A   
  25.00 keV   8.930E+01  1.732E+03     199 A        57 A        44 A   
  27.50 keV   9.366E+01  1.778E+03     210 A        60 A        46 A   
  30.00 keV   9.782E+01  1.819E+03     222 A        62 A        49 A   
  32.50 keV   1.018E+02  1.857E+03     233 A        65 A        51 A   
  35.00 keV   1.057E+02  1.892E+03     244 A        68 A        53 A   
  37.50 keV   1.094E+02  1.924E+03     255 A        70 A        55 A   
  40.00 keV   1.130E+02  1.953E+03     266 A        72 A        57 A   
  45.00 keV   1.198E+02  2.006E+03     286 A        77 A        61 A   
  50.00 keV   1.263E+02  2.051E+03     307 A        82 A        65 A   
