 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 28, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\142Ba_208Pb.txt

 Ion = Barium [56] , Mass = 142 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2842E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.312E-02  1.296E+00      53 A        43 A        33 A   
  11.00 keV   4.522E-02  1.347E+00      56 A        45 A        34 A   
  12.00 keV   4.723E-02  1.394E+00      59 A        47 A        36 A   
  13.00 keV   4.916E-02  1.439E+00      61 A        49 A        37 A   
  14.00 keV   5.102E-02  1.480E+00      64 A        51 A        39 A   
  15.00 keV   5.281E-02  1.519E+00      67 A        53 A        40 A   
  16.00 keV   5.454E-02  1.557E+00      69 A        55 A        41 A   
  17.00 keV   5.622E-02  1.592E+00      72 A        56 A        43 A   
  18.00 keV   5.785E-02  1.625E+00      74 A        58 A        44 A   
  20.00 keV   6.097E-02  1.688E+00      79 A        62 A        46 A   
  22.50 keV   6.467E-02  1.758E+00      85 A        66 A        49 A   
  25.00 keV   6.817E-02  1.822E+00      90 A        69 A        52 A   
  27.50 keV   7.150E-02  1.880E+00      96 A        73 A        55 A   
  30.00 keV   7.468E-02  1.933E+00     101 A        77 A        57 A   
  32.50 keV   7.773E-02  1.982E+00     107 A        80 A        60 A   
  35.00 keV   8.066E-02  2.027E+00     112 A        84 A        62 A   
  37.50 keV   8.349E-02  2.070E+00     117 A        87 A        65 A   
  40.00 keV   8.623E-02  2.109E+00     122 A        91 A        67 A   
  45.00 keV   9.146E-02  2.181E+00     132 A        97 A        72 A   
  50.00 keV   9.641E-02  2.244E+00     142 A       104 A        76 A   
