 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 10, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\142Ba_58Ni.txt

 Ion = Barium [56] , Mass = 142 amu

 Target Density =  8.8955E+00 g/cm3 = 9.2360E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.392E-02  3.778E+00      39 A        18 A        13 A   
  11.00 keV   9.851E-02  3.912E+00      41 A        18 A        14 A   
  12.00 keV   1.029E-01  4.036E+00      43 A        19 A        14 A   
  13.00 keV   1.071E-01  4.152E+00      45 A        20 A        15 A   
  14.00 keV   1.111E-01  4.259E+00      47 A        21 A        15 A   
  15.00 keV   1.150E-01  4.360E+00      49 A        21 A        16 A   
  16.00 keV   1.188E-01  4.455E+00      51 A        22 A        16 A   
  17.00 keV   1.225E-01  4.544E+00      53 A        23 A        17 A   
  18.00 keV   1.260E-01  4.629E+00      55 A        23 A        17 A   
  20.00 keV   1.328E-01  4.785E+00      58 A        25 A        18 A   
  22.50 keV   1.409E-01  4.959E+00      63 A        26 A        19 A   
  25.00 keV   1.485E-01  5.115E+00      67 A        28 A        21 A   
  27.50 keV   1.558E-01  5.256E+00      71 A        29 A        22 A   
  30.00 keV   1.627E-01  5.383E+00      75 A        30 A        23 A   
  32.50 keV   1.693E-01  5.499E+00      78 A        32 A        24 A   
  35.00 keV   1.757E-01  5.606E+00      82 A        33 A        25 A   
  37.50 keV   1.819E-01  5.704E+00      86 A        34 A        26 A   
  40.00 keV   1.878E-01  5.795E+00      90 A        35 A        27 A   
  45.00 keV   1.992E-01  5.959E+00      97 A        38 A        29 A   
  50.00 keV   2.100E-01  6.101E+00     104 A        40 A        30 A   
