 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 28, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\142Ba_Si.txt

 Ion = Barium [56] , Mass = 142 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.022E+01  1.228E+03     124 A        38 A        28 A   
  11.00 keV   5.267E+01  1.270E+03     130 A        40 A        30 A   
  12.00 keV   5.501E+01  1.308E+03     137 A        41 A        31 A   
  13.00 keV   5.726E+01  1.344E+03     143 A        43 A        32 A   
  14.00 keV   5.942E+01  1.377E+03     149 A        44 A        34 A   
  15.00 keV   6.150E+01  1.407E+03     155 A        46 A        35 A   
  16.00 keV   6.352E+01  1.436E+03     161 A        47 A        36 A   
  17.00 keV   6.548E+01  1.463E+03     166 A        49 A        37 A   
  18.00 keV   6.737E+01  1.489E+03     172 A        50 A        38 A   
  20.00 keV   7.102E+01  1.536E+03     183 A        53 A        41 A   
  22.50 keV   7.533E+01  1.589E+03     196 A        56 A        43 A   
  25.00 keV   7.940E+01  1.635E+03     209 A        59 A        46 A   
  27.50 keV   8.328E+01  1.677E+03     221 A        62 A        48 A   
  30.00 keV   8.698E+01  1.715E+03     234 A        65 A        51 A   
  32.50 keV   9.053E+01  1.749E+03     246 A        67 A        53 A   
  35.00 keV   9.395E+01  1.780E+03     257 A        70 A        55 A   
  37.50 keV   9.725E+01  1.809E+03     269 A        73 A        57 A   
  40.00 keV   1.004E+02  1.835E+03     280 A        75 A        60 A   
  45.00 keV   1.065E+02  1.882E+03     303 A        80 A        64 A   
  50.00 keV   1.123E+02  1.922E+03     325 A        85 A        68 A   
