 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 13, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\142Gd_206Pb.txt

 Ion = Gadolinium [64] , Mass = 142 amu

 Target Density =  1.1344E+01 g/cm3 = 3.3161E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.246E-01  1.391E+00      49 A        39 A        30 A   
  11.00 keV   1.306E-01  1.447E+00      51 A        41 A        31 A   
  12.00 keV   1.365E-01  1.500E+00      54 A        43 A        32 A   
  13.00 keV   1.420E-01  1.549E+00      56 A        45 A        34 A   
  14.00 keV   1.474E-01  1.595E+00      59 A        46 A        35 A   
  15.00 keV   1.526E-01  1.639E+00      61 A        48 A        36 A   
  16.00 keV   1.576E-01  1.681E+00      63 A        50 A        37 A   
  17.00 keV   1.624E-01  1.720E+00      66 A        51 A        38 A   
  18.00 keV   1.671E-01  1.757E+00      68 A        53 A        39 A   
  20.00 keV   1.762E-01  1.827E+00      72 A        56 A        41 A   
  22.50 keV   1.869E-01  1.906E+00      77 A        59 A        44 A   
  25.00 keV   1.970E-01  1.978E+00      82 A        63 A        46 A   
  27.50 keV   2.066E-01  2.044E+00      87 A        66 A        48 A   
  30.00 keV   2.158E-01  2.104E+00      92 A        69 A        51 A   
  32.50 keV   2.246E-01  2.160E+00      96 A        72 A        53 A   
  35.00 keV   2.330E-01  2.212E+00     101 A        75 A        55 A   
  37.50 keV   2.412E-01  2.260E+00     106 A        78 A        57 A   
  40.00 keV   2.491E-01  2.305E+00     110 A        81 A        59 A   
  45.00 keV   2.642E-01  2.388E+00     119 A        87 A        63 A   
  50.00 keV   2.785E-01  2.461E+00     127 A        93 A        66 A   
