 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 29, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\142Sm_208Pb.txt

 Ion = Samarium [62] , Mass = 142 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2842E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
  -----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.815E-02  1.354E+00      51 A        42 A        32 A   
  11.00 keV   5.050E-02  1.408E+00      54 A        44 A        33 A   
  12.00 keV   5.274E-02  1.459E+00      56 A        46 A        35 A   
  13.00 keV   5.490E-02  1.506E+00      59 A        47 A        36 A   
  14.00 keV   5.697E-02  1.551E+00      61 A        49 A        37 A   
  15.00 keV   5.897E-02  1.593E+00      64 A        51 A        39 A   
  16.00 keV   6.090E-02  1.633E+00      66 A        53 A        40 A   
  17.00 keV   6.278E-02  1.671E+00      69 A        54 A        41 A   
  18.00 keV   6.460E-02  1.707E+00      71 A        56 A        42 A   
  20.00 keV   6.809E-02  1.774E+00      75 A        59 A        45 A   
  22.50 keV   7.222E-02  1.851E+00      81 A        63 A        47 A   
  25.00 keV   7.613E-02  1.920E+00      86 A        67 A        50 A   
  27.50 keV   7.984E-02  1.983E+00      91 A        70 A        53 A   
  30.00 keV   8.339E-02  2.040E+00      96 A        74 A        55 A   
  32.50 keV   8.680E-02  2.094E+00     101 A        77 A        57 A   
  35.00 keV   9.007E-02  2.144E+00     106 A        80 A        60 A   
  37.50 keV   9.324E-02  2.190E+00     111 A        84 A        62 A   
  40.00 keV   9.629E-02  2.233E+00     116 A        87 A        64 A   
  45.00 keV   1.021E-01  2.312E+00     125 A        93 A        69 A   
