 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 13, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\142Sm_52Cr.txt

 Ion = Samarium [62] , Mass = 142 amu

 Target Density =  7.2000E+00 g/cm3 = 8.3388E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cr     24    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.185E-01  4.101E+00      46 A        20 A        14 A   
  11.00 keV   1.243E-01  4.248E+00      49 A        21 A        15 A   
  12.00 keV   1.298E-01  4.383E+00      51 A        21 A        16 A   
  13.00 keV   1.351E-01  4.509E+00      53 A        22 A        16 A   
  14.00 keV   1.402E-01  4.627E+00      56 A        23 A        17 A   
  15.00 keV   1.451E-01  4.737E+00      58 A        24 A        18 A   
  16.00 keV   1.499E-01  4.840E+00      60 A        25 A        18 A   
  17.00 keV   1.545E-01  4.938E+00      62 A        25 A        19 A   
  18.00 keV   1.590E-01  5.030E+00      64 A        26 A        19 A   
  20.00 keV   1.676E-01  5.201E+00      68 A        27 A        20 A   
  22.50 keV   1.778E-01  5.392E+00      73 A        29 A        22 A   
  25.00 keV   1.874E-01  5.563E+00      78 A        31 A        23 A   
  27.50 keV   1.965E-01  5.717E+00      83 A        32 A        24 A   
  30.00 keV   2.053E-01  5.857E+00      87 A        34 A        25 A   
  32.50 keV   2.136E-01  5.984E+00      92 A        35 A        26 A   
  35.00 keV   2.217E-01  6.102E+00      96 A        36 A        28 A   
  37.50 keV   2.295E-01  6.210E+00     100 A        38 A        29 A   
  40.00 keV   2.370E-01  6.310E+00     104 A        39 A        30 A   
  45.00 keV   2.514E-01  6.489E+00     113 A        42 A        32 A   
  50.00 keV   2.650E-01  6.646E+00     121 A        44 A        34 A   
