 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 29, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\142Sm_Si.txt

 Ion = Samarium [62] , Mass = 142 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+19 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
  -----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.416E-04  5.525E-05    7.58 um    28.85 um    20.60 um  
  11.00 keV   2.534E-04  5.622E-05    8.19 um    30.64 um    21.88 um  
  12.00 keV   2.647E-04  5.706E-05    8.78 um    32.38 um    23.12 um  
  13.00 keV   2.755E-04  5.780E-05    9.38 um    34.07 um    24.34 um  
  14.00 keV   2.859E-04  5.846E-05    9.97 um    35.73 um    25.53 um  
  15.00 keV   2.959E-04  5.904E-05   10.57 um    37.36 um    26.70 um  
  16.00 keV   3.056E-04  5.955E-05   11.16 um    38.96 um    27.84 um  
  17.00 keV   3.150E-04  6.001E-05   11.75 um    40.53 um    28.97 um  
  18.00 keV   3.241E-04  6.042E-05   12.34 um    42.08 um    30.08 um  
  20.00 keV   3.417E-04  6.111E-05   13.53 um    45.07 um    32.28 um  
  22.50 keV   3.624E-04  6.177E-05   15.01 um    48.74 um    34.94 um  
  25.00 keV   3.820E-04  6.227E-05   16.49 um    52.31 um    37.52 um  
  27.50 keV   4.006E-04  6.264E-05   17.98 um    55.80 um    40.04 um  
  30.00 keV   4.185E-04  6.290E-05   19.47 um    59.21 um    42.50 um  
  32.50 keV   4.355E-04  6.308E-05   20.97 um    62.54 um    44.91 um  
  35.00 keV   4.520E-04  6.319E-05   22.48 um    65.82 um    47.28 um  
