 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 10, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\144Ba_208Pb.txt

 Ion = Barium [56] , Mass = 144 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2842E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.282E-02  1.303E+00      53 A        43 A        33 A   
  11.00 keV   4.490E-02  1.355E+00      56 A        45 A        34 A   
  12.00 keV   4.690E-02  1.403E+00      59 A        47 A        36 A   
  13.00 keV   4.882E-02  1.447E+00      61 A        49 A        37 A   
  14.00 keV   5.066E-02  1.489E+00      64 A        51 A        39 A   
  15.00 keV   5.244E-02  1.529E+00      67 A        53 A        40 A   
  16.00 keV   5.416E-02  1.566E+00      69 A        55 A        41 A   
  17.00 keV   5.582E-02  1.602E+00      72 A        56 A        42 A   
  18.00 keV   5.744E-02  1.635E+00      74 A        58 A        44 A   
  20.00 keV   6.055E-02  1.698E+00      79 A        61 A        46 A   
  22.50 keV   6.422E-02  1.769E+00      85 A        65 A        49 A   
  25.00 keV   6.770E-02  1.833E+00      91 A        69 A        52 A   
  27.50 keV   7.100E-02  1.892E+00      96 A        73 A        54 A   
  30.00 keV   7.416E-02  1.945E+00     102 A        77 A        57 A   
  32.50 keV   7.719E-02  1.995E+00     107 A        80 A        59 A   
  35.00 keV   8.010E-02  2.041E+00     112 A        84 A        62 A   
  37.50 keV   8.291E-02  2.083E+00     117 A        87 A        64 A   
  40.00 keV   8.563E-02  2.123E+00     122 A        90 A        67 A   
  45.00 keV   9.082E-02  2.195E+00     132 A        97 A        71 A   
  50.00 keV   9.574E-02  2.260E+00     142 A       103 A        75 A   
