 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 10, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\144Ba_si.txt

 Ion = Barium [56] , Mass = 144 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.148E-01  5.281E+00     125 A        38 A        28 A   
  11.00 keV   2.253E-01  5.461E+00     131 A        40 A        30 A   
  12.00 keV   2.354E-01  5.626E+00     138 A        41 A        31 A   
  13.00 keV   2.450E-01  5.779E+00     144 A        43 A        32 A   
  14.00 keV   2.542E-01  5.922E+00     150 A        44 A        34 A   
  15.00 keV   2.631E-01  6.055E+00     156 A        46 A        35 A   
  16.00 keV   2.718E-01  6.179E+00     162 A        47 A        36 A   
  17.00 keV   2.801E-01  6.297E+00     167 A        49 A        37 A   
  18.00 keV   2.882E-01  6.407E+00     173 A        50 A        38 A   
  20.00 keV   3.038E-01  6.611E+00     184 A        53 A        40 A   
  22.50 keV   3.223E-01  6.838E+00     197 A        56 A        43 A   
  25.00 keV   3.397E-01  7.039E+00     210 A        59 A        46 A   
  27.50 keV   3.563E-01  7.220E+00     222 A        62 A        48 A   
  30.00 keV   3.721E-01  7.383E+00     235 A        65 A        50 A   
  32.50 keV   3.873E-01  7.531E+00     247 A        67 A        53 A   
  35.00 keV   4.019E-01  7.666E+00     258 A        70 A        55 A   
  37.50 keV   4.160E-01  7.790E+00     270 A        73 A        57 A   
  40.00 keV   4.297E-01  7.904E+00     281 A        75 A        59 A   
  45.00 keV   4.558E-01  8.107E+00     304 A        80 A        64 A   
  50.00 keV   4.804E-01  8.282E+00     326 A        85 A        68 A   
