 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 13, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\146Gd_94Mo.txt

 Ion = Gadolinium [64] , Mass = 146 amu

 Target Density =  1.0206E+01 g/cm3 = 6.5384E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mo     42    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.877E-01  2.876E+00      38 A        21 A        15 A   
  11.00 keV   3.017E-01  2.986E+00      40 A        22 A        16 A   
  12.00 keV   3.151E-01  3.087E+00      42 A        23 A        16 A   
  13.00 keV   3.280E-01  3.182E+00      43 A        24 A        17 A   
  14.00 keV   3.404E-01  3.270E+00      45 A        24 A        18 A   
  15.00 keV   3.523E-01  3.353E+00      47 A        25 A        18 A   
  16.00 keV   3.639E-01  3.432E+00      49 A        26 A        19 A   
  17.00 keV   3.751E-01  3.506E+00      50 A        27 A        19 A   
  18.00 keV   3.860E-01  3.577E+00      52 A        27 A        20 A   
  20.00 keV   4.068E-01  3.708E+00      55 A        29 A        21 A   
  22.50 keV   4.315E-01  3.856E+00      59 A        31 A        22 A   
  25.00 keV   4.549E-01  3.989E+00      63 A        32 A        24 A   
  27.50 keV   4.771E-01  4.109E+00      67 A        34 A        25 A   
  30.00 keV   4.983E-01  4.219E+00      70 A        35 A        26 A   
  32.50 keV   5.186E-01  4.321E+00      74 A        37 A        27 A   
  35.00 keV   5.382E-01  4.414E+00      77 A        38 A        28 A   
  37.50 keV   5.571E-01  4.501E+00      81 A        40 A        29 A   
  40.00 keV   5.754E-01  4.581E+00      84 A        41 A        30 A   
  45.00 keV   6.103E-01  4.727E+00      91 A        44 A        32 A   
  50.00 keV   6.433E-01  4.856E+00      97 A        47 A        34 A   
