 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 13, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\196Pt_193Pt.txt

 Ion = Platinum [78] , Mass = 196 amu

 Target Density =  2.1450E+01 g/cm3 = 6.5904E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pt     78    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.078E-01  1.769E+00      25 A        18 A        13 A   
  11.00 keV   1.130E-01  1.845E+00      27 A        19 A        14 A   
  12.00 keV   1.181E-01  1.916E+00      28 A        20 A        14 A   
  13.00 keV   1.229E-01  1.983E+00      29 A        21 A        15 A   
  14.00 keV   1.275E-01  2.046E+00      30 A        21 A        15 A   
  15.00 keV   1.320E-01  2.105E+00      31 A        22 A        16 A   
  16.00 keV   1.363E-01  2.162E+00      32 A        23 A        16 A   
  17.00 keV   1.405E-01  2.216E+00      34 A        23 A        17 A   
  18.00 keV   1.446E-01  2.268E+00      35 A        24 A        17 A   
  20.00 keV   1.524E-01  2.365E+00      37 A        25 A        18 A   
  22.50 keV   1.617E-01  2.475E+00      39 A        27 A        19 A   
  25.00 keV   1.704E-01  2.576E+00      42 A        28 A        20 A   
  27.50 keV   1.787E-01  2.669E+00      44 A        30 A        21 A   
  30.00 keV   1.867E-01  2.754E+00      46 A        31 A        22 A   
  32.50 keV   1.943E-01  2.834E+00      48 A        32 A        23 A   
  35.00 keV   2.016E-01  2.908E+00      50 A        33 A        24 A   
  37.50 keV   2.087E-01  2.978E+00      53 A        34 A        25 A   
  40.00 keV   2.155E-01  3.043E+00      55 A        36 A        26 A   
  45.00 keV   2.286E-01  3.164E+00      59 A        38 A        27 A   
  50.00 keV   2.410E-01  3.272E+00      63 A        40 A        29 A   
