 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 07, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\196Pt_Si.txt

 Ion = Platinum [78] , Mass = 196 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.561E-01  5.760E+00     120 A        32 A        23 A   
  11.00 keV   6.881E-01  5.985E+00     126 A        33 A        24 A   
  12.00 keV   7.187E-01  6.195E+00     132 A        35 A        25 A   
  13.00 keV   7.480E-01  6.391E+00     137 A        36 A        26 A   
  14.00 keV   7.763E-01  6.575E+00     143 A        37 A        27 A   
  15.00 keV   8.035E-01  6.748E+00     148 A        38 A        28 A   
  16.00 keV   8.299E-01  6.912E+00     153 A        39 A        29 A   
  17.00 keV   8.554E-01  7.068E+00     158 A        40 A        30 A   
  18.00 keV   8.802E-01  7.215E+00     163 A        41 A        31 A   
  20.00 keV   9.278E-01  7.490E+00     172 A        43 A        32 A   
  22.50 keV   9.841E-01  7.801E+00     183 A        46 A        34 A   
  25.00 keV   1.037E+00  8.081E+00     194 A        48 A        36 A   
  27.50 keV   1.088E+00  8.337E+00     204 A        50 A        38 A   
  30.00 keV   1.136E+00  8.571E+00     214 A        52 A        40 A   
  32.50 keV   1.183E+00  8.786E+00     224 A        54 A        41 A   
  35.00 keV   1.227E+00  8.986E+00     234 A        56 A        43 A   
  37.50 keV   1.270E+00  9.172E+00     243 A        58 A        45 A   
  40.00 keV   1.312E+00  9.345E+00     252 A        60 A        46 A   
  45.00 keV   1.392E+00  9.660E+00     270 A        63 A        49 A   
  50.00 keV   1.467E+00  9.939E+00     288 A        66 A        52 A   
