 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 13, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\206Hg_120Sn.txt

 Ion = Mercury [80] , Mass = 206 amu

 Target Density =  7.2816E+00 g/cm3 = 3.6939E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Sn     50    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.543E-01  2.730E+00      60 A        33 A        24 A   
  11.00 keV   2.668E-01  2.844E+00      63 A        34 A        25 A   
  12.00 keV   2.786E-01  2.951E+00      66 A        35 A        26 A   
  13.00 keV   2.900E-01  3.051E+00      69 A        37 A        27 A   
  14.00 keV   3.009E-01  3.146E+00      72 A        38 A        27 A   
  15.00 keV   3.115E-01  3.235E+00      74 A        39 A        28 A   
  16.00 keV   3.217E-01  3.320E+00      77 A        40 A        29 A   
  17.00 keV   3.316E-01  3.400E+00      79 A        41 A        30 A   
  18.00 keV   3.412E-01  3.477E+00      82 A        43 A        31 A   
  20.00 keV   3.597E-01  3.621E+00      86 A        45 A        32 A   
  22.50 keV   3.815E-01  3.784E+00      92 A        47 A        34 A   
  25.00 keV   4.022E-01  3.933E+00      98 A        50 A        36 A   
  27.50 keV   4.218E-01  4.070E+00     103 A        52 A        38 A   
  30.00 keV   4.405E-01  4.196E+00     108 A        54 A        40 A   
  32.50 keV   4.585E-01  4.312E+00     113 A        56 A        41 A   
  35.00 keV   4.758E-01  4.421E+00     118 A        58 A        43 A   
  37.50 keV   4.925E-01  4.523E+00     123 A        60 A        44 A   
  40.00 keV   5.087E-01  4.618E+00     128 A        62 A        46 A   
  45.00 keV   5.396E-01  4.793E+00     137 A        66 A        49 A   
  50.00 keV   5.687E-01  4.950E+00     146 A        70 A        51 A   
