 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 07, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\208Pb208Pb.txt

 Ion = Lead [82] , Mass = 208 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2842E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.00 keV   6.287E+01  8.793E+02      23 A        18 A        13 A
   2.50 keV   7.029E+01  9.913E+02      26 A        20 A        14 A   
   3.00 keV   7.700E+01  1.091E+03      28 A        22 A        15 A   
   3.25 keV   8.015E+01  1.138E+03      29 A        22 A        16 A   
   3.50 keV   8.317E+01  1.182E+03      30 A        23 A        16 A   
   3.75 keV   8.609E+01  1.225E+03      31 A        24 A        17 A   
   4.00 keV   8.892E+01  1.266E+03      32 A        24 A        17 A   
   4.50 keV   9.431E+01  1.343E+03      33 A        25 A        18 A   
   5.00 keV   9.941E+01  1.415E+03      35 A        26 A        19 A   
   5.50 keV   1.043E+02  1.483E+03      37 A        28 A        20 A   
   6.00 keV   1.089E+02  1.547E+03      38 A        29 A        20 A   
   6.50 keV   1.133E+02  1.608E+03      40 A        30 A        21 A   
   7.00 keV   1.176E+02  1.666E+03      41 A        31 A        22 A   
   8.00 keV   1.257E+02  1.774E+03      44 A        32 A        23 A   
   9.00 keV   1.334E+02  1.873E+03      47 A        34 A        24 A   
  10.00 keV   1.406E+02  1.965E+03      49 A        36 A        25 A   
  11.00 keV   1.475E+02  2.051E+03      51 A        37 A        26 A   
  12.00 keV   1.540E+02  2.131E+03      54 A        39 A        27 A   
  13.00 keV   1.603E+02  2.207E+03      56 A        40 A        28 A   
  14.00 keV   1.663E+02  2.279E+03      58 A        41 A        29 A   
