 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 28, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\208Pb_Si.txt

 Ion = Lead [82] , Mass = 208 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.444E+02  1.344E+03     123 A        32 A        23 A   
  11.00 keV   1.514E+02  1.398E+03     128 A        33 A        24 A   
  12.00 keV   1.581E+02  1.448E+03     134 A        35 A        25 A   
  13.00 keV   1.646E+02  1.495E+03     140 A        36 A        26 A   
  14.00 keV   1.708E+02  1.539E+03     145 A        37 A        27 A   
  15.00 keV   1.768E+02  1.581E+03     150 A        38 A        28 A   
  16.00 keV   1.826E+02  1.620E+03     155 A        39 A        29 A   
  17.00 keV   1.882E+02  1.657E+03     160 A        40 A        30 A   
  18.00 keV   1.937E+02  1.693E+03     165 A        41 A        31 A   
  20.00 keV   2.041E+02  1.759E+03     174 A        43 A        32 A   
  22.50 keV   2.165E+02  1.834E+03     185 A        45 A        34 A   
  25.00 keV   2.282E+02  1.902E+03     196 A        48 A        36 A   
  27.50 keV   2.394E+02  1.964E+03     206 A        50 A        38 A   
  30.00 keV   2.500E+02  2.021E+03     216 A        52 A        39 A   
  32.50 keV   2.602E+02  2.073E+03     226 A        54 A        41 A   
  35.00 keV   2.701E+02  2.122E+03     236 A        56 A        43 A   
  37.50 keV   2.795E+02  2.167E+03     245 A        57 A        44 A   
  40.00 keV   2.887E+02  2.210E+03     254 A        59 A        46 A   
  45.00 keV   3.062E+02  2.287E+03     272 A        63 A        49 A   
  50.00 keV   3.228E+02  2.356E+03     289 A        66 A        51 A   
