 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 28, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\22Ne_107Ag.txt

 Ion = Neon [10] , Mass = 22 amu

 Target Density =  1.0473E+01 g/cm3 = 5.8467E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ag     47    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.034E-01  3.043E-01      93 A        98 A        75 A   
  11.00 keV   1.084E-01  3.078E-01     100 A       105 A        80 A   
  12.00 keV   1.132E-01  3.107E-01     108 A       112 A        85 A   
  13.00 keV   1.179E-01  3.131E-01     115 A       118 A        90 A   
  14.00 keV   1.223E-01  3.151E-01     122 A       125 A        95 A   
  15.00 keV   1.266E-01  3.167E-01     130 A       132 A       100 A   
  16.00 keV   1.308E-01  3.180E-01     137 A       138 A       105 A   
  17.00 keV   1.348E-01  3.191E-01     145 A       144 A       110 A   
  18.00 keV   1.387E-01  3.200E-01     152 A       151 A       115 A   
  20.00 keV   1.462E-01  3.211E-01     167 A       163 A       124 A   
  22.50 keV   1.551E-01  3.218E-01     185 A       179 A       136 A   
  25.00 keV   1.634E-01  3.217E-01     204 A       194 A       147 A   
  27.50 keV   1.714E-01  3.211E-01     223 A       209 A       158 A   
  30.00 keV   1.790E-01  3.202E-01     241 A       224 A       169 A   
  32.50 keV   1.864E-01  3.189E-01     260 A       239 A       180 A   
  35.00 keV   1.934E-01  3.174E-01     279 A       254 A       191 A   
  37.50 keV   2.002E-01  3.157E-01     298 A       269 A       201 A   
  40.00 keV   2.067E-01  3.139E-01     317 A       283 A       212 A   
  45.00 keV   2.248E-01  3.100E-01     355 A       311 A       233 A   
  50.00 keV   2.599E-01  3.059E-01     392 A       337 A       254 A   
