 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 28, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\22Ne_28Si.txt

 Ion = Neon [10] , Mass = 22 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.997E-01  1.113E+00     232 A       125 A        89 A   
  11.00 keV   3.143E-01  1.109E+00     252 A       135 A        96 A   
  12.00 keV   3.283E-01  1.105E+00     272 A       144 A       103 A   
  13.00 keV   3.417E-01  1.100E+00     292 A       153 A       109 A   
  14.00 keV   3.546E-01  1.094E+00     313 A       162 A       115 A   
  15.00 keV   3.670E-01  1.087E+00     333 A       172 A       122 A   
  16.00 keV   3.791E-01  1.080E+00     354 A       181 A       128 A   
  17.00 keV   3.907E-01  1.073E+00     374 A       189 A       134 A   
  18.00 keV   4.021E-01  1.066E+00     395 A       198 A       140 A   
  20.00 keV   4.238E-01  1.050E+00     436 A       216 A       153 A   
  22.50 keV   4.495E-01  1.031E+00     488 A       237 A       168 A   
  25.00 keV   4.738E-01  1.011E+00     540 A       258 A       183 A   
  27.50 keV   4.970E-01  9.915E-01     592 A       279 A       198 A   
  30.00 keV   5.191E-01  9.725E-01     645 A       300 A       213 A   
  32.50 keV   5.403E-01  9.541E-01     698 A       320 A       228 A   
  35.00 keV   5.606E-01  9.363E-01     752 A       340 A       242 A   
  37.50 keV   5.803E-01  9.191E-01     805 A       360 A       257 A   
  40.00 keV   5.994E-01  9.026E-01     859 A       379 A       272 A   
  45.00 keV   6.546E-01  8.712E-01     967 A       417 A       301 A   
  50.00 keV   7.680E-01  8.421E-01    1072 A       451 A       330 A   
