 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 13, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\28Mg_93Nb.txt

 Ion = Magnesium [12] , Mass = 28 amu

 Target Density =  8.5700E+00 g/cm3 = 5.5549E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.169E-01  4.976E-01      93 A        84 A        65 A   
  11.00 keV   1.226E-01  5.041E-01     101 A        90 A        70 A   
  12.00 keV   1.280E-01  5.096E-01     108 A        96 A        74 A   
  13.00 keV   1.332E-01  5.142E-01     115 A       102 A        78 A   
  14.00 keV   1.383E-01  5.181E-01     122 A       107 A        82 A   
  15.00 keV   1.431E-01  5.214E-01     130 A       113 A        87 A   
  16.00 keV   1.478E-01  5.242E-01     137 A       118 A        91 A   
  17.00 keV   1.524E-01  5.266E-01     144 A       124 A        95 A   
  18.00 keV   1.568E-01  5.286E-01     151 A       129 A        99 A   
  20.00 keV   1.653E-01  5.315E-01     166 A       140 A       107 A   
  22.50 keV   1.753E-01  5.338E-01     184 A       153 A       116 A   
  25.00 keV   1.848E-01  5.348E-01     202 A       166 A       126 A   
  27.50 keV   1.938E-01  5.349E-01     220 A       179 A       135 A   
  30.00 keV   2.024E-01  5.343E-01     238 A       192 A       145 A   
  32.50 keV   2.107E-01  5.331E-01     256 A       205 A       154 A   
  35.00 keV   2.186E-01  5.315E-01     274 A       218 A       163 A   
  37.50 keV   2.263E-01  5.295E-01     292 A       231 A       171 A   
  40.00 keV   2.337E-01  5.273E-01     310 A       244 A       180 A   
  45.00 keV   2.479E-01  5.221E-01     347 A       270 A       197 A   
  50.00 keV   2.613E-01  5.165E-01     384 A       293 A       215 A   
