 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 29, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\48K_104Pd.txt

 Ion = Potassium [19] , Mass = 48 amu

 Target Density =  1.2020E+01 g/cm3 = 6.9600E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pd     46    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.412E-01  8.802E-01      52 A        41 A        32 A   
  11.00 keV   1.481E-01  8.991E-01      55 A        44 A        34 A   
  12.00 keV   1.546E-01  9.160E-01      59 A        47 A        35 A   
  13.00 keV   1.610E-01  9.312E-01      62 A        49 A        37 A   
  14.00 keV   1.670E-01  9.448E-01      66 A        52 A        39 A   
  15.00 keV   1.729E-01  9.571E-01      69 A        54 A        41 A   
  16.00 keV   1.786E-01  9.683E-01      73 A        56 A        43 A   
  17.00 keV   1.841E-01  9.785E-01      76 A        59 A        44 A   
  18.00 keV   1.894E-01  9.878E-01      80 A        61 A        46 A   
  20.00 keV   1.996E-01  1.004E+00      86 A        66 A        49 A   
  22.50 keV   2.118E-01  1.021E+00      95 A        71 A        53 A   
  25.00 keV   2.232E-01  1.035E+00     103 A        77 A        57 A   
  27.50 keV   2.341E-01  1.046E+00     111 A        82 A        61 A   
  30.00 keV   2.445E-01  1.056E+00     119 A        88 A        64 A   
  32.50 keV   2.545E-01  1.063E+00     127 A        93 A        68 A   
  35.00 keV   2.641E-01  1.069E+00     135 A        99 A        71 A   
  37.50 keV   2.734E-01  1.075E+00     143 A       104 A        75 A   
  40.00 keV   2.823E-01  1.079E+00     151 A       109 A        79 A   
  45.00 keV   2.995E-01  1.084E+00     167 A       119 A        86 A   
  50.00 keV   3.157E-01  1.088E+00     183 A       128 A        93 A   
