 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 29, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\48K_Si.txt

 Ion = Potassium [19] , Mass = 48 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.049E+01  6.063E+02     149 A        63 A        47 A   
  11.00 keV   9.491E+01  6.144E+02     160 A        67 A        50 A   
  12.00 keV   9.913E+01  6.214E+02     170 A        70 A        53 A   
  13.00 keV   1.032E+02  6.273E+02     181 A        74 A        56 A   
  14.00 keV   1.071E+02  6.323E+02     191 A        78 A        58 A   
  15.00 keV   1.108E+02  6.366E+02     202 A        81 A        61 A   
  16.00 keV   1.145E+02  6.402E+02     212 A        85 A        64 A   
  17.00 keV   1.180E+02  6.433E+02     222 A        89 A        66 A   
  18.00 keV   1.214E+02  6.459E+02     232 A        92 A        69 A   
  20.00 keV   1.280E+02  6.500E+02     253 A        99 A        74 A   
  22.50 keV   1.357E+02  6.532E+02     278 A       107 A        80 A   
  25.00 keV   1.431E+02  6.549E+02     303 A       116 A        86 A   
  27.50 keV   1.501E+02  6.554E+02     327 A       124 A        92 A   
  30.00 keV   1.567E+02  6.550E+02     352 A       132 A        98 A   
  32.50 keV   1.631E+02  6.539E+02     376 A       140 A       104 A   
  35.00 keV   1.693E+02  6.522E+02     401 A       148 A       110 A   
  37.50 keV   1.752E+02  6.501E+02     425 A       155 A       115 A   
  40.00 keV   1.810E+02  6.476E+02     450 A       163 A       121 A   
  45.00 keV   1.920E+02  6.419E+02     499 A       178 A       132 A   
  50.00 keV   2.024E+02  6.354E+02     548 A       193 A       143 A   
