 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 10, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\58Ni_58Ni.txt

 Ion = Nickel [28] , Mass = 58 amu

 Target Density =  8.8955E+00 g/cm3 = 9.2360E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.455E-02  2.182E+00      44 A        27 A        19 A   
  11.00 keV   7.819E-02  2.233E+00      47 A        29 A        21 A   
  12.00 keV   8.167E-02  2.279E+00      50 A        30 A        22 A   
  13.00 keV   8.500E-02  2.320E+00      53 A        32 A        23 A   
  14.00 keV   8.821E-02  2.358E+00      56 A        33 A        24 A   
  15.00 keV   9.131E-02  2.392E+00      59 A        35 A        25 A   
  16.00 keV   9.430E-02  2.423E+00      61 A        36 A        26 A   
  17.00 keV   9.720E-02  2.452E+00      64 A        37 A        27 A   
  18.00 keV   1.000E-01  2.479E+00      67 A        39 A        28 A   
  20.00 keV   1.054E-01  2.526E+00      72 A        42 A        30 A   
  22.50 keV   1.118E-01  2.575E+00      79 A        45 A        32 A   
  25.00 keV   1.179E-01  2.617E+00      86 A        48 A        35 A   
  27.50 keV   1.236E-01  2.651E+00      92 A        51 A        37 A   
  30.00 keV   1.291E-01  2.681E+00      99 A        55 A        39 A   
  32.50 keV   1.344E-01  2.706E+00     105 A        58 A        41 A   
  35.00 keV   1.395E-01  2.727E+00     112 A        61 A        44 A   
  37.50 keV   1.444E-01  2.745E+00     118 A        64 A        46 A   
  40.00 keV   1.491E-01  2.761E+00     124 A        67 A        48 A   
  45.00 keV   1.581E-01  2.784E+00     137 A        73 A        52 A   
  50.00 keV   1.667E-01  2.801E+00     150 A        79 A        56 A   
