 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 10, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\58Ni_Si.txt

 Ion = Nickel [28] , Mass = 58 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.717E-01  3.546E+00     129 A        54 A        40 A   
  11.00 keV   1.801E-01  3.617E+00     138 A        57 A        43 A   
  12.00 keV   1.881E-01  3.679E+00     146 A        60 A        45 A   
  13.00 keV   1.958E-01  3.735E+00     155 A        63 A        47 A   
  14.00 keV   2.032E-01  3.784E+00     163 A        66 A        50 A   
  15.00 keV   2.103E-01  3.829E+00     171 A        69 A        52 A   
  16.00 keV   2.172E-01  3.869E+00     180 A        71 A        54 A   
  17.00 keV   2.239E-01  3.905E+00     188 A        74 A        56 A   
  18.00 keV   2.304E-01  3.938E+00     196 A        77 A        58 A   
  20.00 keV   2.429E-01  3.995E+00     212 A        82 A        62 A   
  22.50 keV   2.576E-01  4.053E+00     232 A        89 A        67 A   
  25.00 keV   2.715E-01  4.099E+00     251 A        96 A        72 A   
  27.50 keV   2.848E-01  4.135E+00     270 A       102 A        77 A   
  30.00 keV   2.974E-01  4.164E+00     290 A       108 A        82 A   
  32.50 keV   3.096E-01  4.187E+00     309 A       115 A        86 A   
  35.00 keV   3.213E-01  4.204E+00     328 A       121 A        91 A   
  37.50 keV   3.326E-01  4.218E+00     347 A       127 A        95 A   
  40.00 keV   3.435E-01  4.227E+00     366 A       133 A       100 A   
  45.00 keV   3.643E-01  4.238E+00     404 A       145 A       109 A   
  50.00 keV   3.840E-01  4.239E+00     441 A       157 A       117 A   
