 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 17, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\62Mn_109Ag.txt

 Ion = Manganese [25] , Mass = 62 amu

 Target Density =  1.0473E+01 g/cm3 = 5.7861E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ag     47    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.773E-02  1.137E+00      54 A        42 A        32 A   
  11.00 keV   9.202E-02  1.166E+00      58 A        44 A        34 A   
  12.00 keV   9.611E-02  1.193E+00      61 A        47 A        35 A   
  13.00 keV   1.000E-01  1.216E+00      65 A        49 A        37 A   
  14.00 keV   1.038E-01  1.238E+00      68 A        52 A        39 A   
  15.00 keV   1.075E-01  1.258E+00      72 A        54 A        41 A   
  16.00 keV   1.110E-01  1.277E+00      75 A        56 A        42 A   
  17.00 keV   1.144E-01  1.293E+00      79 A        59 A        44 A   
  18.00 keV   1.177E-01  1.309E+00      82 A        61 A        45 A   
  20.00 keV   1.241E-01  1.337E+00      88 A        65 A        48 A   
  22.50 keV   1.316E-01  1.368E+00      97 A        71 A        52 A   
  25.00 keV   1.387E-01  1.393E+00     105 A        76 A        56 A   
  27.50 keV   1.455E-01  1.415E+00     112 A        81 A        59 A   
  30.00 keV   1.520E-01  1.435E+00     120 A        86 A        63 A   
  32.50 keV   1.582E-01  1.451E+00     128 A        91 A        66 A   
  35.00 keV   1.641E-01  1.466E+00     136 A        96 A        69 A   
  37.50 keV   1.699E-01  1.478E+00     144 A       101 A        73 A   
  40.00 keV   1.755E-01  1.489E+00     151 A       106 A        76 A   
  45.00 keV   1.861E-01  1.507E+00     166 A       115 A        83 A   
  50.00 keV   1.962E-01  1.521E+00     182 A       125 A        89 A   
