 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 16, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\66Ge_196Pt.txt

 Ion = Germanium [32] , Mass = 66 amu

 Target Density =  2.1450E+01 g/cm3 = 6.5904E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pt     78    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.098E-02  6.944E-01      32 A        34 A        26 A   
  11.00 keV   4.298E-02  7.166E-01      34 A        35 A        27 A   
  12.00 keV   4.489E-02  7.369E-01      36 A        37 A        29 A   
  13.00 keV   4.673E-02  7.556E-01      38 A        39 A        30 A   
  14.00 keV   4.849E-02  7.730E-01      40 A        41 A        31 A   
  15.00 keV   5.019E-02  7.892E-01      42 A        42 A        33 A   
  16.00 keV   5.184E-02  8.043E-01      44 A        44 A        34 A   
  17.00 keV   5.343E-02  8.184E-01      46 A        45 A        35 A   
  18.00 keV   5.498E-02  8.317E-01      47 A        47 A        37 A   
  20.00 keV   5.796E-02  8.561E-01      51 A        50 A        39 A   
  22.50 keV   6.147E-02  8.830E-01      55 A        54 A        42 A   
  25.00 keV   6.480E-02  9.068E-01      60 A        58 A        45 A   
  27.50 keV   6.796E-02  9.279E-01      64 A        61 A        48 A   
  30.00 keV   7.098E-02  9.467E-01      68 A        65 A        50 A   
  32.50 keV   7.388E-02  9.638E-01      72 A        68 A        53 A   
  35.00 keV   7.667E-02  9.792E-01      76 A        71 A        56 A   
  37.50 keV   7.936E-02  9.933E-01      80 A        75 A        58 A   
  40.00 keV   8.196E-02  1.006E+00      84 A        78 A        61 A   
  45.00 keV   8.693E-02  1.029E+00      92 A        84 A        66 A   
  50.00 keV   9.164E-02  1.048E+00     100 A        91 A        71 A   
