 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 16, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\66Ge_Si.txt

 Ion = Germanium [32] , Mass = 66 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.495E-01  3.933E+00     122 A        49 A        37 A   
  11.00 keV   2.617E-01  4.021E+00     130 A        51 A        39 A   
  12.00 keV   2.733E-01  4.100E+00     138 A        54 A        41 A   
  13.00 keV   2.845E-01  4.170E+00     146 A        56 A        43 A   
  14.00 keV   2.952E-01  4.234E+00     153 A        59 A        45 A   
  15.00 keV   3.056E-01  4.292E+00     161 A        61 A        47 A   
  16.00 keV   3.156E-01  4.345E+00     168 A        64 A        48 A   
  17.00 keV   3.253E-01  4.394E+00     175 A        66 A        50 A   
  18.00 keV   3.347E-01  4.438E+00     182 A        68 A        52 A   
  20.00 keV   3.528E-01  4.516E+00     196 A        73 A        56 A   
  22.50 keV   3.742E-01  4.598E+00     214 A        78 A        60 A   
  25.00 keV   3.945E-01  4.665E+00     231 A        84 A        64 A   
  27.50 keV   4.137E-01  4.722E+00     248 A        89 A        68 A   
  30.00 keV   4.321E-01  4.768E+00     265 A        94 A        72 A   
  32.50 keV   4.498E-01  4.807E+00     282 A        99 A        76 A   
  35.00 keV   4.667E-01  4.840E+00     298 A       105 A        80 A   
  37.50 keV   4.831E-01  4.867E+00     315 A       110 A        84 A   
  40.00 keV   4.990E-01  4.890E+00     331 A       114 A        87 A   
  45.00 keV   5.292E-01  4.923E+00     363 A       124 A        95 A   
  50.00 keV   5.579E-01  4.944E+00     396 A       134 A       102 A   
