 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 10, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\70Se_58Ni.txt

 Ion = Selenium [34] , Mass = 70 amu

 Target Density =  8.8955E+00 g/cm3 = 9.2360E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.219E-01  2.606E+00      41 A        23 A        17 A   
  11.00 keV   1.278E-01  2.676E+00      43 A        25 A        18 A   
  12.00 keV   1.335E-01  2.738E+00      46 A        26 A        19 A   
  13.00 keV   1.390E-01  2.795E+00      48 A        27 A        20 A   
  14.00 keV   1.442E-01  2.848E+00      51 A        28 A        20 A   
  15.00 keV   1.493E-01  2.896E+00      53 A        29 A        21 A   
  16.00 keV   1.542E-01  2.940E+00      55 A        30 A        22 A   
  17.00 keV   1.589E-01  2.981E+00      58 A        32 A        23 A   
  18.00 keV   1.635E-01  3.020E+00      60 A        33 A        24 A   
  20.00 keV   1.724E-01  3.089E+00      65 A        35 A        25 A   
  22.50 keV   1.828E-01  3.163E+00      70 A        37 A        27 A   
  25.00 keV   1.927E-01  3.226E+00      76 A        40 A        29 A   
  27.50 keV   2.021E-01  3.281E+00      81 A        42 A        31 A   
  30.00 keV   2.111E-01  3.329E+00      87 A        45 A        33 A   
  32.50 keV   2.197E-01  3.371E+00      92 A        47 A        34 A   
  35.00 keV   2.280E-01  3.408E+00      97 A        50 A        36 A   
  37.50 keV   2.360E-01  3.440E+00     103 A        52 A        38 A   
  40.00 keV   2.438E-01  3.469E+00     108 A        54 A        39 A   
  45.00 keV   2.586E-01  3.517E+00     118 A        59 A        43 A   
  50.00 keV   2.726E-01  3.555E+00     128 A        63 A        46 A   
