 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 11, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\72Se_196Pt.txt

 Ion = Selenium [34] , Mass = 72 amu

 Target Density =  2.1450E+01 g/cm3 = 6.5904E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pt     78    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.548E-02  7.586E-01      31 A        32 A        24 A   
  11.00 keV   4.770E-02  7.834E-01      33 A        33 A        26 A   
  12.00 keV   4.982E-02  8.062E-01      35 A        35 A        27 A   
  13.00 keV   5.185E-02  8.273E-01      37 A        36 A        28 A   
  14.00 keV   5.381E-02  8.468E-01      39 A        38 A        30 A   
  15.00 keV   5.570E-02  8.650E-01      41 A        40 A        31 A   
  16.00 keV   5.752E-02  8.821E-01      42 A        41 A        32 A   
  17.00 keV   5.929E-02  8.980E-01      44 A        43 A        33 A   
  18.00 keV   6.101E-02  9.131E-01      46 A        44 A        34 A   
  20.00 keV   6.431E-02  9.407E-01      49 A        47 A        36 A   
  22.50 keV   6.821E-02  9.713E-01      53 A        50 A        39 A   
  25.00 keV   7.190E-02  9.984E-01      58 A        54 A        42 A   
  27.50 keV   7.541E-02  1.022E+00      62 A        57 A        44 A   
  30.00 keV   7.877E-02  1.044E+00      65 A        60 A        47 A   
  32.50 keV   8.198E-02  1.064E+00      69 A        63 A        49 A   
  35.00 keV   8.508E-02  1.082E+00      73 A        66 A        52 A   
  37.50 keV   8.806E-02  1.098E+00      77 A        69 A        54 A   
  40.00 keV   9.095E-02  1.113E+00      81 A        72 A        56 A   
  45.00 keV   9.647E-02  1.139E+00      88 A        78 A        61 A   
  50.00 keV   1.017E-01  1.162E+00      96 A        84 A        65 A   
