 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 12, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\72Se_208Pb.txt

 Ion = Selenium [34] , Mass = 72 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2842E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.517E-02  7.048E-01      61 A        63 A        49 A   
  11.00 keV   5.786E-02  7.281E-01      65 A        66 A        51 A   
  12.00 keV   6.044E-02  7.496E-01      68 A        70 A        54 A   
  13.00 keV   6.290E-02  7.694E-01      72 A        73 A        56 A   
  14.00 keV   6.528E-02  7.878E-01      75 A        76 A        59 A   
  15.00 keV   6.757E-02  8.049E-01      79 A        79 A        61 A   
  16.00 keV   6.979E-02  8.210E-01      82 A        82 A        63 A   
  17.00 keV   7.193E-02  8.360E-01      86 A        85 A        66 A   
  18.00 keV   7.402E-02  8.502E-01      89 A        88 A        68 A   
  20.00 keV   7.802E-02  8.763E-01      96 A        93 A        72 A   
  22.50 keV   8.276E-02  9.053E-01     104 A       100 A        78 A   
  25.00 keV   8.723E-02  9.309E-01     112 A       107 A        83 A   
  27.50 keV   9.149E-02  9.537E-01     119 A       113 A        88 A   
  30.00 keV   9.556E-02  9.743E-01     127 A       119 A        93 A   
  32.50 keV   9.946E-02  9.929E-01     134 A       126 A        98 A   
  35.00 keV   1.032E-01  1.010E+00     142 A       132 A       102 A   
  37.50 keV   1.068E-01  1.025E+00     149 A       138 A       107 A   
  40.00 keV   1.103E-01  1.040E+00     157 A       144 A       112 A   
  45.00 keV   1.170E-01  1.065E+00     171 A       155 A       121 A   
  50.00 keV   1.234E-01  1.086E+00     185 A       166 A       130 A   
