 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 07, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\72Se_Si.txt

 Ion = Selenium [34] , Mass = 72 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.768E-01  4.119E+00     121 A        46 A        35 A   
  11.00 keV   2.904E-01  4.217E+00     128 A        49 A        37 A   
  12.00 keV   3.033E-01  4.305E+00     136 A        51 A        39 A   
  13.00 keV   3.157E-01  4.384E+00     143 A        54 A        41 A   
  14.00 keV   3.276E-01  4.456E+00     150 A        56 A        43 A   
  15.00 keV   3.391E-01  4.522E+00     157 A        58 A        44 A   
  16.00 keV   3.502E-01  4.582E+00     164 A        60 A        46 A   
  17.00 keV   3.610E-01  4.637E+00     171 A        63 A        48 A   
  18.00 keV   3.714E-01  4.688E+00     178 A        65 A        50 A   
  20.00 keV   3.915E-01  4.778E+00     192 A        69 A        53 A   
  22.50 keV   4.153E-01  4.874E+00     208 A        74 A        57 A   
  25.00 keV   4.377E-01  4.954E+00     225 A        79 A        61 A   
  27.50 keV   4.591E-01  5.021E+00     241 A        84 A        64 A   
  30.00 keV   4.795E-01  5.079E+00     257 A        88 A        68 A   
  32.50 keV   4.991E-01  5.127E+00     272 A        93 A        72 A   
  35.00 keV   5.179E-01  5.169E+00     288 A        98 A        75 A   
  37.50 keV   5.361E-01  5.205E+00     304 A       102 A        79 A   
  40.00 keV   5.537E-01  5.235E+00     319 A       107 A        82 A   
  45.00 keV   5.873E-01  5.283E+00     350 A       115 A        89 A   
  50.00 keV   6.190E-01  5.317E+00     380 A       124 A        96 A   
