 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 04, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\76Zn_208Pb.txt

 Ion = Zinc [30] , Mass = 76 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2842E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.572E-02  6.838E-01      65 A        65 A        50 A   
  11.00 keV   5.844E-02  7.056E-01      69 A        68 A        53 A   
  12.00 keV   6.104E-02  7.257E-01      73 A        71 A        55 A   
  13.00 keV   6.354E-02  7.442E-01      77 A        75 A        58 A   
  14.00 keV   6.593E-02  7.613E-01      80 A        78 A        61 A   
  15.00 keV   6.825E-02  7.773E-01      84 A        81 A        63 A   
  16.00 keV   7.049E-02  7.922E-01      88 A        84 A        65 A   
  17.00 keV   7.266E-02  8.062E-01      92 A        87 A        68 A   
  18.00 keV   7.476E-02  8.193E-01      95 A        90 A        70 A   
  20.00 keV   7.881E-02  8.434E-01     102 A        96 A        75 A   
  22.50 keV   8.359E-02  8.700E-01     111 A       103 A        80 A   
  25.00 keV   8.811E-02  8.934E-01     120 A       110 A        86 A   
  27.50 keV   9.241E-02  9.142E-01     128 A       117 A        91 A   
  30.00 keV   9.652E-02  9.329E-01     136 A       124 A        96 A   
  32.50 keV   1.005E-01  9.497E-01     145 A       130 A       101 A   
  35.00 keV   1.043E-01  9.650E-01     153 A       136 A       106 A   
  37.50 keV   1.079E-01  9.789E-01     161 A       143 A       111 A   
  40.00 keV   1.114E-01  9.916E-01     169 A       149 A       116 A   
  45.00 keV   1.182E-01  1.014E+00     185 A       161 A       125 A   
  50.00 keV   1.246E-01  1.033E+00     200 A       173 A       135 A   
