 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 17, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\78Zn_120Sn.txt

 Ion = Zinc [30] , Mass = 78 amu

 Target Density =  7.2816E+00 g/cm3 = 3.6541E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Sn     50    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.095E-01  1.272E+00      76 A        57 A        42 A   
  11.00 keV   1.148E-01  1.308E+00      81 A        60 A        45 A   
  12.00 keV   1.199E-01  1.342E+00      85 A        64 A        47 A   
  13.00 keV   1.248E-01  1.372E+00      90 A        67 A        49 A   
  14.00 keV   1.295E-01  1.400E+00      95 A        70 A        51 A   
  15.00 keV   1.341E-01  1.426E+00      99 A        73 A        53 A   
  16.00 keV   1.384E-01  1.450E+00     104 A        76 A        55 A   
  17.00 keV   1.427E-01  1.472E+00     108 A        79 A        57 A   
  18.00 keV   1.468E-01  1.493E+00     112 A        82 A        59 A   
  20.00 keV   1.548E-01  1.531E+00     121 A        87 A        63 A   
  22.50 keV   1.642E-01  1.572E+00     131 A        94 A        67 A   
  25.00 keV   1.731E-01  1.607E+00     142 A       100 A        72 A   
  27.50 keV   1.815E-01  1.639E+00     152 A       106 A        77 A   
  30.00 keV   1.896E-01  1.666E+00     162 A       112 A        81 A   
  32.50 keV   1.973E-01  1.691E+00     172 A       118 A        85 A   
  35.00 keV   2.048E-01  1.713E+00     182 A       124 A        89 A   
  37.50 keV   2.120E-01  1.732E+00     191 A       130 A        94 A   
  40.00 keV   2.189E-01  1.750E+00     201 A       136 A        98 A   
  45.00 keV   2.322E-01  1.780E+00     220 A       147 A       106 A   
  50.00 keV   2.447E-01  1.805E+00     239 A       158 A       114 A   
