 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 17, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\78Zn_208Pb.txt

 Ion = Zinc [30] , Mass = 78 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2842E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.501E-02  6.952E-01      65 A        64 A        50 A   
  11.00 keV   5.769E-02  7.175E-01      69 A        67 A        52 A   
  12.00 keV   6.026E-02  7.379E-01      73 A        71 A        55 A   
  13.00 keV   6.272E-02  7.568E-01      77 A        74 A        57 A   
  14.00 keV   6.508E-02  7.743E-01      81 A        77 A        60 A   
  15.00 keV   6.737E-02  7.905E-01      84 A        80 A        62 A   
  16.00 keV   6.958E-02  8.057E-01      88 A        83 A        65 A   
  17.00 keV   7.172E-02  8.200E-01      92 A        86 A        67 A   
  18.00 keV   7.380E-02  8.333E-01      95 A        89 A        70 A   
  20.00 keV   7.779E-02  8.579E-01     103 A        95 A        74 A   
  22.50 keV   8.251E-02  8.850E-01     111 A       102 A        80 A   
  25.00 keV   8.697E-02  9.089E-01     120 A       109 A        85 A   
  27.50 keV   9.122E-02  9.302E-01     128 A       116 A        90 A   
  30.00 keV   9.527E-02  9.492E-01     137 A       122 A        95 A   
  32.50 keV   9.916E-02  9.664E-01     145 A       129 A       100 A   
  35.00 keV   1.029E-01  9.820E-01     153 A       135 A       105 A   
  37.50 keV   1.065E-01  9.962E-01     161 A       141 A       110 A   
  40.00 keV   1.100E-01  1.009E+00     169 A       147 A       115 A   
  45.00 keV   1.167E-01  1.032E+00     185 A       159 A       124 A   
  50.00 keV   1.230E-01  1.051E+00     200 A       171 A       133 A   
