 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 09, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\93Nb_93Nb.txt

 Ion = Niobium [41] , Mass = 9291 amu

 Target Density =  8.5700E+00 g/cm3 = 5.5549E+19 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.422E-05  4.553E-04    4.58 um     8.66 um     6.33 um  
  11.00 keV   1.492E-05  4.671E-04    4.91 um     9.21 um     6.73 um  
  12.00 keV   1.558E-05  4.778E-04    5.23 um     9.74 um     7.13 um  
  13.00 keV   1.622E-05  4.876E-04    5.55 um    10.26 um     7.51 um  
  14.00 keV   1.683E-05  4.965E-04    5.86 um    10.78 um     7.90 um  
  15.00 keV   1.742E-05  5.046E-04    6.18 um    11.29 um     8.27 um  
  16.00 keV   1.799E-05  5.121E-04    6.49 um    11.79 um     8.64 um  
  17.00 keV   1.854E-05  5.191E-04    6.79 um    12.28 um     9.01 um  
  18.00 keV   1.908E-05  5.255E-04    7.10 um    12.77 um     9.38 um  
  20.00 keV   2.011E-05  5.371E-04    7.71 um    13.74 um    10.10 um  
  22.50 keV   2.133E-05  5.496E-04    8.47 um    14.93 um    10.98 um  
  25.00 keV   2.249E-05  5.602E-04    9.22 um    16.10 um    11.86 um  
  27.50 keV   2.359E-05  5.693E-04    9.96 um    17.26 um    12.72 um  
  30.00 keV   2.463E-05  5.773E-04   10.70 um    18.40 um    13.57 um  
  32.50 keV   2.564E-05  5.842E-04   11.44 um    19.53 um    14.41 um  
  35.00 keV   2.661E-05  5.902E-04   12.18 um    20.66 um    15.25 um  
  37.50 keV   2.754E-05  5.955E-04   12.92 um    21.77 um    16.09 um  
