 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 07, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\94Rb208Pb.txt

 Ion = Rubidium [37] , Mass = 94 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2842E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.00 keV   2.499E+01  4.988E+02      25 A        26 A        20 A   
   2.50 keV   2.794E+01  5.540E+02      28 A        28 A        22 A
   3.00 keV   3.061E+01  6.022E+02      30 A        31 A        24 A   
   3.25 keV   3.186E+01  6.243E+02      32 A        32 A        25 A   
   3.50 keV   3.306E+01  6.451E+02      33 A        33 A        26 A   
   3.75 keV   3.422E+01  6.649E+02      34 A        34 A        26 A   
   4.00 keV   3.534E+01  6.838E+02      35 A        35 A        27 A   
   4.50 keV   3.749E+01  7.191E+02      38 A        37 A        29 A   
   5.00 keV   3.952E+01  7.515E+02      40 A        39 A        30 A   
   5.50 keV   4.144E+01  7.816E+02      42 A        41 A        32 A   
   6.00 keV   4.329E+01  8.096E+02      44 A        43 A        33 A   
   6.50 keV   4.506E+01  8.358E+02      46 A        44 A        34 A   
   7.00 keV   4.676E+01  8.605E+02      48 A        46 A        36 A   
   8.00 keV   4.998E+01  9.057E+02      52 A        49 A        38 A   
   9.00 keV   5.302E+01  9.465E+02      56 A        52 A        41 A   
  10.00 keV   5.588E+01  9.835E+02      60 A        55 A        43 A   
  11.00 keV   5.861E+01  1.017E+03      63 A        58 A        45 A   
  12.00 keV   6.122E+01  1.049E+03      67 A        61 A        48 A   
  13.00 keV   6.372E+01  1.078E+03      70 A        64 A        50 A   
  14.00 keV   6.612E+01  1.105E+03      74 A        66 A        52 A   
