 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 08, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\96Kr_208Pb.txt

 Ion = Krypton [36] , Mass = 96 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2842E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.645E-02  8.657E-01      60 A        54 A        42 A   
  11.00 keV   8.018E-02  8.954E-01      64 A        57 A        44 A   
  12.00 keV   8.374E-02  9.227E-01      67 A        60 A        46 A   
  13.00 keV   8.716E-02  9.481E-01      70 A        63 A        49 A   
  14.00 keV   9.045E-02  9.717E-01      74 A        65 A        51 A   
  15.00 keV   9.363E-02  9.938E-01      77 A        68 A        53 A   
  16.00 keV   9.670E-02  1.014E+00      80 A        70 A        54 A   
  17.00 keV   9.968E-02  1.034E+00      84 A        73 A        56 A   
  18.00 keV   1.026E-01  1.052E+00      87 A        75 A        58 A   
  20.00 keV   1.081E-01  1.086E+00      93 A        80 A        62 A   
  22.50 keV   1.147E-01  1.124E+00     101 A        85 A        66 A   
  25.00 keV   1.209E-01  1.157E+00     108 A        91 A        70 A   
  27.50 keV   1.268E-01  1.188E+00     115 A        96 A        74 A   
  30.00 keV   1.324E-01  1.215E+00     122 A       101 A        78 A   
  32.50 keV   1.378E-01  1.240E+00     129 A       107 A        82 A   
  35.00 keV   1.430E-01  1.262E+00     136 A       112 A        86 A   
  37.50 keV   1.480E-01  1.283E+00     143 A       116 A        90 A   
  40.00 keV   1.529E-01  1.302E+00     150 A       121 A        93 A   
  45.00 keV   1.622E-01  1.336E+00     163 A       131 A       100 A   
  50.00 keV   1.709E-01  1.366E+00     176 A       140 A       107 A   
