 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 08, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\96Kr_Si.txt

 Ion = Krypton [36] , Mass = 96 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.904E+01  1.004E+03     125 A        42 A        32 A   
  11.00 keV   9.339E+01  1.030E+03     132 A        44 A        34 A   
  12.00 keV   9.754E+01  1.054E+03     139 A        47 A        36 A   
  13.00 keV   1.015E+02  1.076E+03     147 A        48 A        37 A   
  14.00 keV   1.054E+02  1.096E+03     154 A        50 A        39 A   
  15.00 keV   1.091E+02  1.115E+03     160 A        52 A        40 A   
  16.00 keV   1.126E+02  1.132E+03     167 A        54 A        42 A   
  17.00 keV   1.161E+02  1.147E+03     174 A        56 A        43 A   
  18.00 keV   1.195E+02  1.162E+03     180 A        58 A        45 A   
  20.00 keV   1.259E+02  1.189E+03     193 A        61 A        48 A   
  22.50 keV   1.336E+02  1.217E+03     209 A        65 A        51 A   
  25.00 keV   1.408E+02  1.241E+03     224 A        69 A        54 A   
  27.50 keV   1.477E+02  1.262E+03     240 A        73 A        58 A   
  30.00 keV   1.542E+02  1.281E+03     254 A        77 A        61 A   
  32.50 keV   1.605E+02  1.297E+03     269 A        81 A        64 A   
  35.00 keV   1.666E+02  1.311E+03     284 A        85 A        67 A   
  37.50 keV   1.724E+02  1.323E+03     298 A        88 A        70 A   
  40.00 keV   1.781E+02  1.334E+03     312 A        92 A        73 A   
  45.00 keV   1.889E+02  1.352E+03     340 A        99 A        78 A   
  50.00 keV   1.991E+02  1.367E+03     368 A       106 A        84 A   
