 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 13, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\110Sn_206Pb.txt

 Ion = Tin [50] , Mass = 110 amu

 Target Density =  1.1344E+01 g/cm3 = 3.3161E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.059E-02  1.107E+00      53 A        47 A        36 A   
  11.00 keV   5.306E-02  1.149E+00      56 A        49 A        38 A   
  12.00 keV   5.542E-02  1.188E+00      59 A        51 A        40 A   
  13.00 keV   5.769E-02  1.224E+00      62 A        54 A        42 A   
  14.00 keV   5.986E-02  1.258E+00      64 A        56 A        43 A   
  15.00 keV   6.197E-02  1.289E+00      67 A        58 A        45 A   
  16.00 keV   6.400E-02  1.319E+00      70 A        60 A        46 A   
  17.00 keV   6.597E-02  1.348E+00      72 A        62 A        48 A   
  18.00 keV   6.788E-02  1.375E+00      75 A        64 A        49 A   
  20.00 keV   7.155E-02  1.424E+00      80 A        67 A        52 A   
  22.50 keV   7.589E-02  1.480E+00      86 A        72 A        56 A   
  25.00 keV   8.000E-02  1.531E+00      92 A        76 A        59 A   
  27.50 keV   8.390E-02  1.577E+00      98 A        81 A        62 A   
  30.00 keV   8.763E-02  1.618E+00     104 A        85 A        65 A   
  32.50 keV   9.121E-02  1.657E+00     109 A        89 A        68 A   
  35.00 keV   9.465E-02  1.692E+00     115 A        93 A        71 A   
  37.50 keV   9.798E-02  1.725E+00     120 A        97 A        74 A   
  40.00 keV   1.012E-01  1.755E+00     126 A       100 A        77 A   
  45.00 keV   1.073E-01  1.811E+00     136 A       108 A        83 A   
  50.00 keV   1.131E-01  1.859E+00     147 A       115 A        88 A   
