 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 13, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\120Sn_120Sn.txt

 Ion = Tin [50] , Mass = 119.902 amu

 Target Density =  7.2816E+00 g/cm3 = 3.6939E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Sn     50    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.654E-02  1.997E+00      64 A        43 A        31 A   
  11.00 keV   1.013E-01  2.068E+00      67 A        45 A        32 A   
  12.00 keV   1.058E-01  2.133E+00      71 A        47 A        34 A   
  13.00 keV   1.101E-01  2.194E+00      74 A        49 A        35 A   
  14.00 keV   1.142E-01  2.250E+00      78 A        51 A        37 A   
  15.00 keV   1.182E-01  2.303E+00      81 A        53 A        38 A   
  16.00 keV   1.221E-01  2.353E+00      84 A        55 A        39 A   
  17.00 keV   1.259E-01  2.400E+00      87 A        56 A        40 A   
  18.00 keV   1.295E-01  2.444E+00      90 A        58 A        42 A   
  20.00 keV   1.365E-01  2.526E+00      96 A        61 A        44 A   
  22.50 keV   1.448E-01  2.617E+00     104 A        65 A        47 A   
  25.00 keV   1.526E-01  2.699E+00     111 A        69 A        50 A   
  27.50 keV   1.601E-01  2.773E+00     118 A        73 A        53 A   
  30.00 keV   1.672E-01  2.839E+00     125 A        77 A        55 A   
  32.50 keV   1.740E-01  2.900E+00     132 A        80 A        58 A   
  35.00 keV   1.806E-01  2.956E+00     139 A        84 A        61 A   
  37.50 keV   1.869E-01  3.007E+00     145 A        87 A        63 A   
  40.00 keV   1.931E-01  3.055E+00     152 A        91 A        66 A   
  45.00 keV   2.048E-01  3.140E+00     164 A        97 A        70 A   
  50.00 keV   2.159E-01  3.214E+00     177 A       104 A        75 A   
