 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 13, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\136Te_58Ni.txt

 Ion = Tellurium [52] , Mass = 136 amu

 Target Density =  8.8955E+00 g/cm3 = 9.1274E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.063E-02  3.599E+00      40 A        18 A        13 A   
  11.00 keV   9.506E-02  3.724E+00      42 A        19 A        14 A   
  12.00 keV   9.928E-02  3.838E+00      45 A        20 A        15 A   
  13.00 keV   1.033E-01  3.945E+00      47 A        21 A        15 A   
  14.00 keV   1.072E-01  4.044E+00      49 A        22 A        16 A   
  15.00 keV   1.110E-01  4.136E+00      51 A        22 A        16 A   
  16.00 keV   1.146E-01  4.223E+00      53 A        23 A        17 A   
  17.00 keV   1.182E-01  4.305E+00      54 A        24 A        18 A   
  18.00 keV   1.216E-01  4.382E+00      56 A        24 A        18 A   
  20.00 keV   1.282E-01  4.525E+00      60 A        26 A        19 A   
  22.50 keV   1.359E-01  4.683E+00      64 A        27 A        20 A   
  25.00 keV   1.433E-01  4.825E+00      69 A        29 A        22 A   
  27.50 keV   1.503E-01  4.951E+00      73 A        30 A        23 A   
  30.00 keV   1.570E-01  5.066E+00      77 A        32 A        24 A   
  32.50 keV   1.634E-01  5.170E+00      81 A        33 A        25 A   
  35.00 keV   1.696E-01  5.266E+00      85 A        35 A        26 A   
  37.50 keV   1.755E-01  5.354E+00      89 A        36 A        27 A   
  40.00 keV   1.813E-01  5.434E+00      93 A        37 A        28 A   
  45.00 keV   1.923E-01  5.579E+00     101 A        40 A        30 A   
  50.00 keV   2.027E-01  5.704E+00     108 A        42 A        32 A   
