 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 13, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\206Pb_206Pb.txt

 Ion = Lead [82] , Mass = 206 amu

 Target Density =  1.1344E+01 g/cm3 = 3.3161E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.257E-01  1.749E+00      49 A        35 A        25 A   
  11.00 keV   1.319E-01  1.826E+00      51 A        37 A        26 A   
  12.00 keV   1.378E-01  1.897E+00      53 A        38 A        27 A   
  13.00 keV   1.434E-01  1.965E+00      56 A        40 A        28 A   
  14.00 keV   1.488E-01  2.028E+00      58 A        41 A        29 A   
  15.00 keV   1.540E-01  2.089E+00      60 A        42 A        30 A   
  16.00 keV   1.591E-01  2.146E+00      62 A        44 A        31 A   
  17.00 keV   1.640E-01  2.201E+00      64 A        45 A        32 A   
  18.00 keV   1.687E-01  2.253E+00      66 A        46 A        33 A   
  20.00 keV   1.778E-01  2.352E+00      70 A        48 A        34 A   
  22.50 keV   1.886E-01  2.464E+00      74 A        51 A        36 A   
  25.00 keV   1.988E-01  2.567E+00      79 A        54 A        38 A   
  27.50 keV   2.085E-01  2.662E+00      83 A        56 A        40 A   
  30.00 keV   2.178E-01  2.749E+00      87 A        59 A        42 A   
  32.50 keV   2.267E-01  2.831E+00      92 A        61 A        44 A   
  35.00 keV   2.353E-01  2.907E+00      96 A        63 A        45 A   
  37.50 keV   2.435E-01  2.979E+00     100 A        66 A        47 A   
  40.00 keV   2.515E-01  3.046E+00     103 A        68 A        48 A   
  45.00 keV   2.668E-01  3.170E+00     111 A        72 A        52 A   
  50.00 keV   2.812E-01  3.282E+00     118 A        76 A        54 A   
