 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 13, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\208Pb_208Pb.txt

 Ion = Lead [82] , Mass = 207.977 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2971E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.244E-01  1.741E+00      49 A        35 A        25 A   
  11.00 keV   1.305E-01  1.817E+00      51 A        37 A        26 A   
  12.00 keV   1.363E-01  1.888E+00      54 A        38 A        27 A   
  13.00 keV   1.419E-01  1.955E+00      56 A        40 A        28 A   
  14.00 keV   1.472E-01  2.019E+00      58 A        41 A        29 A   
  15.00 keV   1.524E-01  2.079E+00      60 A        43 A        30 A   
  16.00 keV   1.574E-01  2.136E+00      62 A        44 A        31 A   
  17.00 keV   1.622E-01  2.191E+00      64 A        45 A        32 A   
  18.00 keV   1.669E-01  2.243E+00      66 A        46 A        33 A   
  20.00 keV   1.760E-01  2.341E+00      70 A        49 A        35 A   
  22.50 keV   1.866E-01  2.453E+00      75 A        51 A        37 A   
  25.00 keV   1.967E-01  2.555E+00      79 A        54 A        39 A   
  27.50 keV   2.063E-01  2.649E+00      84 A        57 A        40 A   
  30.00 keV   2.155E-01  2.737E+00      88 A        59 A        42 A   
  32.50 keV   2.243E-01  2.818E+00      92 A        61 A        44 A   
  35.00 keV   2.328E-01  2.894E+00      96 A        64 A        46 A   
  37.50 keV   2.410E-01  2.965E+00     100 A        66 A        47 A   
  40.00 keV   2.489E-01  3.032E+00     104 A        68 A        49 A   
  45.00 keV   2.640E-01  3.156E+00     112 A        72 A        52 A   
  50.00 keV   2.782E-01  3.267E+00     119 A        76 A        55 A   
