 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 13, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\52Cr_52Cr.txt

 Ion = Chromium [24] , Mass = 51.94 amu

 Target Density =  7.2000E+00 g/cm3 = 8.3388E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cr     24    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.666E-01  2.004E+00      57 A        33 A        24 A   
  11.00 keV   1.748E-01  2.044E+00      61 A        35 A        25 A   
  12.00 keV   1.826E-01  2.079E+00      64 A        37 A        27 A   
  13.00 keV   1.900E-01  2.111E+00      68 A        39 A        28 A   
  14.00 keV   1.972E-01  2.139E+00      72 A        41 A        30 A   
  15.00 keV   2.041E-01  2.164E+00      76 A        43 A        31 A   
  16.00 keV   2.108E-01  2.187E+00      80 A        44 A        32 A   
  17.00 keV   2.173E-01  2.207E+00      83 A        46 A        33 A   
  18.00 keV   2.236E-01  2.226E+00      87 A        48 A        35 A   
  20.00 keV   2.357E-01  2.258E+00      94 A        52 A        37 A   
  22.50 keV   2.500E-01  2.290E+00     103 A        56 A        40 A   
  25.00 keV   2.635E-01  2.316E+00     112 A        60 A        43 A   
  27.50 keV   2.764E-01  2.337E+00     121 A        64 A        46 A   
  30.00 keV   2.886E-01  2.353E+00     130 A        68 A        49 A   
  32.50 keV   3.004E-01  2.366E+00     139 A        72 A        52 A   
  35.00 keV   3.118E-01  2.376E+00     148 A        77 A        55 A   
  37.50 keV   3.227E-01  2.383E+00     156 A        81 A        58 A   
  40.00 keV   3.333E-01  2.389E+00     165 A        85 A        60 A   
  45.00 keV   3.535E-01  2.394E+00     183 A        92 A        66 A   
  50.00 keV   3.726E-01  2.395E+00     200 A       100 A        71 A   
