 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 13, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\58Ni_58Ni.txt

 Ion = Nickel [28] , Mass = 57.94 amu

 Target Density =  8.8955E+00 g/cm3 = 9.1274E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.371E-02  2.146E+00      45 A        27 A        20 A   
  11.00 keV   7.731E-02  2.196E+00      48 A        29 A        21 A   
  12.00 keV   8.075E-02  2.241E+00      51 A        31 A        22 A   
  13.00 keV   8.405E-02  2.282E+00      54 A        32 A        23 A   
  14.00 keV   8.722E-02  2.318E+00      56 A        34 A        24 A   
  15.00 keV   9.028E-02  2.352E+00      59 A        35 A        25 A   
  16.00 keV   9.324E-02  2.383E+00      62 A        37 A        26 A   
  17.00 keV   9.611E-02  2.411E+00      65 A        38 A        27 A   
  18.00 keV   9.890E-02  2.437E+00      68 A        39 A        28 A   
  20.00 keV   1.042E-01  2.483E+00      73 A        42 A        30 A   
  22.50 keV   1.106E-01  2.531E+00      80 A        46 A        33 A   
  25.00 keV   1.166E-01  2.572E+00      87 A        49 A        35 A   
  27.50 keV   1.222E-01  2.606E+00      93 A        52 A        38 A   
  30.00 keV   1.277E-01  2.634E+00     100 A        56 A        40 A   
  32.50 keV   1.329E-01  2.659E+00     106 A        59 A        42 A   
  35.00 keV   1.379E-01  2.679E+00     113 A        62 A        44 A   
  37.50 keV   1.427E-01  2.697E+00     119 A        65 A        47 A   
  40.00 keV   1.474E-01  2.712E+00     126 A        68 A        49 A   
  45.00 keV   1.564E-01  2.735E+00     139 A        74 A        53 A   
  50.00 keV   1.648E-01  2.751E+00     152 A        81 A        57 A   
