 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 13, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\70Se_208Pb.txt

 Ion = Selenium [34] , Mass = 70 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2971E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.617E-02  6.964E-01      60 A        63 A        49 A   
  11.00 keV   5.891E-02  7.194E-01      64 A        67 A        51 A   
  12.00 keV   6.153E-02  7.405E-01      68 A        70 A        54 A   
  13.00 keV   6.405E-02  7.600E-01      71 A        73 A        57 A   
  14.00 keV   6.646E-02  7.782E-01      75 A        76 A        59 A   
  15.00 keV   6.880E-02  7.951E-01      78 A        79 A        61 A   
  16.00 keV   7.105E-02  8.109E-01      82 A        82 A        64 A   
  17.00 keV   7.324E-02  8.258E-01      85 A        85 A        66 A   
  18.00 keV   7.536E-02  8.398E-01      89 A        88 A        68 A   
  20.00 keV   7.944E-02  8.655E-01      95 A        94 A        73 A   
  22.50 keV   8.426E-02  8.940E-01     103 A       101 A        78 A   
  25.00 keV   8.882E-02  9.192E-01     111 A       107 A        83 A   
  27.50 keV   9.315E-02  9.418E-01     119 A       114 A        88 A   
  30.00 keV   9.729E-02  9.620E-01     126 A       120 A        93 A   
  32.50 keV   1.013E-01  9.804E-01     134 A       126 A        98 A   
  35.00 keV   1.051E-01  9.971E-01     141 A       132 A       103 A   
  37.50 keV   1.088E-01  1.012E+00     149 A       138 A       108 A   
  40.00 keV   1.123E-01  1.026E+00     156 A       144 A       112 A   
  45.00 keV   1.192E-01  1.051E+00     170 A       156 A       121 A   
  50.00 keV   1.256E-01  1.072E+00     185 A       167 A       130 A   
