 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 13, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs/94Mo_94Mo.txt

 Ion = Molybdenum [42] , Mass = 94 amu

 Target Density =  1.0206E+01 g/cm3 = 6.5384E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mo     42    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.210E-01  2.117E+00      42 A        27 A        20 A   
  11.00 keV   1.269E-01  2.185E+00      44 A        29 A        21 A   
  12.00 keV   1.326E-01  2.247E+00      46 A        30 A        21 A   
  13.00 keV   1.380E-01  2.305E+00      49 A        31 A        22 A   
  14.00 keV   1.432E-01  2.358E+00      51 A        33 A        23 A   
  15.00 keV   1.482E-01  2.407E+00      53 A        34 A        24 A   
  16.00 keV   1.531E-01  2.454E+00      56 A        35 A        25 A   
  17.00 keV   1.578E-01  2.497E+00      58 A        36 A        26 A   
  18.00 keV   1.624E-01  2.538E+00      60 A        37 A        27 A   
  20.00 keV   1.711E-01  2.612E+00      64 A        40 A        29 A   
  22.50 keV   1.815E-01  2.695E+00      69 A        42 A        31 A   
  25.00 keV   1.913E-01  2.767E+00      75 A        45 A        32 A   
  27.50 keV   2.007E-01  2.832E+00      80 A        48 A        34 A   
  30.00 keV   2.096E-01  2.890E+00      84 A        50 A        36 A   
  32.50 keV   2.182E-01  2.942E+00      89 A        53 A        38 A   
  35.00 keV   2.264E-01  2.990E+00      94 A        55 A        40 A   
  37.50 keV   2.344E-01  3.033E+00      99 A        57 A        41 A   
  40.00 keV   2.420E-01  3.072E+00     103 A        60 A        43 A   
  45.00 keV   2.567E-01  3.142E+00     113 A        64 A        47 A   
  50.00 keV   2.706E-01  3.201E+00     122 A        69 A        50 A   
