 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 13, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\94Rb_208Pb.txt

 Ion = Rubidium [37] , Mass = 94 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2971E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.946E-02  8.724E-01      60 A        55 A        43 A   
  11.00 keV   5.187E-02  9.025E-01      63 A        58 A        45 A   
  12.00 keV   5.418E-02  9.303E-01      67 A        61 A        47 A   
  13.00 keV   5.639E-02  9.560E-01      70 A        63 A        49 A   
  14.00 keV   5.852E-02  9.800E-01      73 A        66 A        51 A   
  15.00 keV   6.057E-02  1.002E+00      77 A        69 A        53 A   
  16.00 keV   6.256E-02  1.023E+00      80 A        71 A        55 A   
  17.00 keV   6.449E-02  1.043E+00      83 A        74 A        57 A   
  18.00 keV   6.636E-02  1.062E+00      86 A        76 A        59 A   
  20.00 keV   6.995E-02  1.096E+00      92 A        81 A        63 A   
  22.50 keV   7.419E-02  1.135E+00     100 A        87 A        67 A   
  25.00 keV   7.820E-02  1.169E+00     107 A        92 A        72 A   
  27.50 keV   8.202E-02  1.200E+00     114 A        98 A        76 A   
  30.00 keV   8.567E-02  1.227E+00     122 A       103 A        80 A   
  32.50 keV   8.916E-02  1.253E+00     129 A       108 A        84 A   
  35.00 keV   9.253E-02  1.276E+00     135 A       113 A        88 A   
  37.50 keV   9.578E-02  1.297E+00     142 A       118 A        92 A   
  40.00 keV   9.892E-02  1.316E+00     149 A       123 A        95 A   
  45.00 keV   1.049E-01  1.351E+00     162 A       133 A       103 A   
  50.00 keV   1.106E-01  1.381E+00     175 A       142 A       110 A   
